folder_name,EE_mm_auc,EE_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8924833635813673,0.9865445373413001
abalone-19_vs_10-11-12-13,0.6974842767295597,0.9867767533470008
abalone-20_vs_8-9-10,0.9251526251526252,0.9926317016901015
abalone-21_vs_8,0.9654824892920131,0.986798314837199
abalone-3_vs_11,0.9822039698836413,0.9836622385752914
abalone19,0.7935327136648962,0.9953900749829288
abalone9-18,0.86377773170226,0.9675414990447139
car-good,0.6286483039372418,0.9579467304570813
car-vgood,0.5215551135575188,0.9605334204065497
cleveland-0_vs_4,0.8908653846153847,0.9559272300071157
dermatology-6,0.8942307692307693,0.968491064399106
ecoli-0-1-3-7_vs_2-6,0.8633993743482795,0.9842095422363548
ecoli-0-1-4-6_vs_5,0.8332692307692308,0.9557292967154253
ecoli-0-1-4-7_vs_2-3-5-6,0.795237560372908,0.9469623570429898
ecoli-0-1-4-7_vs_5-6,0.8366123778501628,0.9545848567869217
ecoli-0-1_vs_2-3-5,0.8537878787878788,0.9410566688861299
ecoli-0-1_vs_5,0.8631818181818182,0.9496996578364097
ecoli-0-2-3-4_vs_5,0.8804945054945055,0.9412423940578375
ecoli-0-2-6-7_vs_3-5,0.8301080108010801,0.940244207350035
ecoli-0-3-4-6_vs_5,0.8583783783783784,0.9406724845194951
ecoli-0-3-4-7_vs_5-6,0.8306896551724138,0.9419128504974036
ecoli-0-3-4_vs_5,0.8866666666666667,0.9406751728600858
ecoli-0-4-6_vs_5,0.8718579234972678,0.9407833060207899
ecoli-0-6-7_vs_3-5,0.8140909090909091,0.9392596904127073
ecoli-0-6-7_vs_5,0.821,0.9440410707823865
ecoli-0_vs_1,0.7580601216964853,0.8640441434757824
ecoli1,0.5171739457453743,0.7911281053839605
ecoli2,0.7432286023835319,0.8978811670395791
ecoli3,0.5003322259136214,0.9028228496911601
ecoli4,0.9087025316455696,0.9659319561958007
flare-F,0.7828207051762941,0.9750500900197691
glass-0-1-2-3_vs_4-5-6,0.9619872488872849,0.8653899476586402
glass-0-1-4-6_vs_2,0.5528785982478097,0.9111856936336349
glass-0-1-5_vs_2,0.5203036053130929,0.9059245091857832
glass-0-1-6_vs_2,0.5247058823529411,0.9103374580965596
glass-0-1-6_vs_5,0.780952380952381,0.9659850388803635
glass-0-4_vs_5,0.8808567603748326,0.9383643713575839
glass-0-6_vs_5,0.6936026936026936,0.9341590638909123
glass0,0.7477182539682539,0.5049700657274843
glass1,0.6055491990846682,0.5563556569506356
glass2,0.5694237085697224,0.9120258934601193
