folder_name,Largest_KNN_mm_auc,Largest_KNN_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8477276164549303,0.8494696618529819
abalone-19_vs_10-11-12-13,0.6356132075471699,0.9699018414046575
abalone-20_vs_8-9-10,0.8592999592999594,0.90589219660628
abalone-21_vs_8,0.934114386495339,0.5621465911982072
abalone-3_vs_11,0.6510609171800137,0.914324366830417
abalone19,0.7384943867696765,0.9840958866660192
abalone9-18,0.8471732669845877,0.7339407197768615
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8848557692307693,0.6507643462581061
dermatology-6,0.7637573964497042,0.873141412120507
ecoli-0-1-3-7_vs_2-6,0.8102189781021898,0.8567480179291966
ecoli-0-1-4-6_vs_5,0.7786538461538463,0.8185676596053604
ecoli-0-1-4-7_vs_2-3-5-6,0.7841177131304055,0.7055114118537167
ecoli-0-1-4-7_vs_5-6,0.7964169381107491,0.7836118777108505
ecoli-0-1_vs_2-3-5,0.775189393939394,0.6988892914395409
ecoli-0-1_vs_5,0.775,0.7985772866453085
ecoli-0-2-3-4_vs_5,0.8241758241758242,0.7493937261962786
ecoli-0-2-6-7_vs_3-5,0.8094059405940593,0.6370067991758712
ecoli-0-3-4-6_vs_5,0.8086486486486487,0.767669816633149
ecoli-0-3-4-7_vs_5-6,0.8197413793103449,0.7258417807511128
ecoli-0-3-4_vs_5,0.8255555555555556,0.7464285087320024
ecoli-0-4-6_vs_5,0.8174863387978142,0.7193163409546036
ecoli-0-6-7_vs_3-5,0.8129545454545455,0.630920585849938
ecoli-0-6-7_vs_5,0.79425,0.736522476172919
ecoli-0_vs_1,0.7718644991372264,0.5005321663331288
ecoli1,0.6226244797673369,0.6794654647213951
ecoli2,0.5811552004333694,0.8273797763339005
ecoli3,0.5165638348362601,0.895702535893222
ecoli4,0.7723892405063291,0.8701968603306236
flare-F,0.7282388779012936,0.9041406802439805
glass-0-1-2-3_vs_4-5-6,0.814988572115963,0.5495448387915364
glass-0-1-4-6_vs_2,0.5793178973717146,0.9286372510505868
glass-0-1-5_vs_2,0.5032258064516129,0.8995867114329257
glass-0-1-6_vs_2,0.5242016806722689,0.9136934507235992
glass-0-1-6_vs_5,0.8692063492063492,0.8125856547312487
glass-0-4_vs_5,0.8480589022757697,0.7206033569432262
glass-0-6_vs_5,0.9023569023569024,0.6567991014069445
glass0,0.7061507936507936,0.7674572429612148
glass1,0.5200705568268497,0.6400817097978962
glass2,0.6185428486115259,0.9366392604123538
glass4,0.8941829314963643,0.6719410133233584
