folder_name,CBLOF_mm_auc,CBLOF_mm_avgprecision
abalone-17_vs_7-8-9-10,0.7320780399274047,0.8962782862020989
abalone-19_vs_10-11-12-13,0.5552279874213837,0.9776123153236927
abalone-20_vs_8-9-10,0.733048433048433,0.9613275283430014
abalone-21_vs_8,0.8657092466616276,0.6782061938568699
abalone-3_vs_11,0.997946611909651,0.9348731007554536
abalone19,0.5914262433606954,0.9902495928111459
abalone9-18,0.7128688921141751,0.8601014637386578
car-good,0.5670912283460439,0.9606355676328502
car-vgood,0.6718858411582405,0.9434788803757395
cleveland-0_vs_4,0.8581730769230769,0.5533060660967638
dermatology-6,0.5748520710059172,0.9362642473455132
ecoli-0-1-3-7_vs_2-6,0.8164754953076121,0.5970161650220658
ecoli-0-1-4-6_vs_5,0.5644230769230769,0.8954506580128828
ecoli-0-1-4-7_vs_2-3-5-6,0.6166460743569583,0.6862532614093184
ecoli-0-1-4-7_vs_5-6,0.7426710097719869,0.6833855255811845
ecoli-0-1_vs_2-3-5,0.6229166666666668,0.7679445946145497
ecoli-0-1_vs_5,0.6015909090909092,0.8702845641756383
ecoli-0-2-3-4_vs_5,0.6494505494505495,0.823987664740546
ecoli-0-2-6-7_vs_3-5,0.6084608460846085,0.7325528910445973
ecoli-0-3-4-6_vs_5,0.6451351351351352,0.8414265896502742
ecoli-0-3-4-7_vs_5-6,0.784655172413793,0.6705515764777727
ecoli-0-3-4_vs_5,0.6602777777777779,0.822943611761684
ecoli-0-4-6_vs_5,0.6546448087431693,0.8012162569232723
ecoli-0-6-7_vs_3-5,0.6454545454545455,0.7108314713366146
ecoli-0-6-7_vs_5,0.5907500000000001,0.803233957410071
ecoli-0_vs_1,0.6479883752611026,0.5419124833308151
ecoli1,0.5499172642029786,0.7182382403012215
ecoli2,0.5594528710725893,0.8274171573295083
ecoli3,0.5498813478879924,0.8818016213691512
ecoli4,0.5889240506329114,0.9231422354914779
flare-F,0.7234422241924117,0.8853500738273411
glass-0-1-2-3_vs_4-5-6,0.7669914591603513,0.5356531454663235
glass-0-1-4-6_vs_2,0.5738423028785982,0.927151686314669
glass-0-1-5_vs_2,0.5457305502846299,0.9059238857625991
glass-0-1-6_vs_2,0.5616806722689075,0.9139858345412216
glass-0-1-6_vs_5,0.7415873015873016,0.8322180750582517
glass-0-4_vs_5,0.7054886211512718,0.7866309144277867
glass-0-6_vs_5,0.77665544332211,0.7592474753400598
glass0,0.7310515873015873,0.7738821870283644
glass1,0.5041952707856598,0.6259734236217375
glass2,0.5888324873096447,0.9323175469512912
glass4,0.7933409873708381,0.7338500979726114
glass5,0.8661246612466125,0.8531529724891042
glass6,0.7463187325256291,0.7480634768166001
habermanImb,0.6283676268861454,0.6171098402555519
iris0,0.6382000000000001,0.6869994848113934
kr-vs-k-one_vs_fifteen,0.9355482160191301,0.5542977263960267
kr-vs-k-three_vs_eleven,0.6233832524418836,0.9637190247374641
kr-vs-k-zero-one_vs_draw,0.6445244907691259,0.937414260292446
kr-vs-k-zero_vs_eight,0.8578480783644775,0.9408376145855666
kr-vs-k-zero_vs_fifteen,0.9989911425737834,0.9426942829399494
led7digit-0-2-4-5-6-7-8-9_vs_1,0.54796298761816,0.9069631924185646
lymphography-normal-fibrosis,0.9812206572769953,0.8531746031746031
new-thyroid1,0.8301587301587302,0.6069453064330945
new-thyroid2,0.856031746031746,0.5616680281500476
page-blocks-1-3_vs_4,0.7963320463320462,0.6843220268737532
page-blocks0,0.8030312409084437,0.6215107773074031
pimaImb,0.6532313432835821,0.5237197123661821
poker-8-9_vs_5,0.5994146341463416,0.9608991405207533
poker-8-9_vs_6,0.7513972602739727,0.7072652667740849
poker-8_vs_6,0.6489927477840451,0.9319917312566754
poker-9_vs_7,0.954449152542373,0.7133578431372549
segment0,0.5494731151252282,0.8815627395705716
shuttle-2_vs_5,0.9931597983546036,0.5033508906041482
shuttle-6_vs_2-3,0.9972727272727273,0.9451515151515152
shuttle-c0-vs-c4,0.5582496973856023,0.8902701641257614
shuttle-c2-vs-c4,0.9742547425474255,0.5089285714285714
vehicle0,0.5345894852935464,0.7467461325619378
vehicle1,0.5142021935190815,0.7359838721312385
vehicle2,0.5518757669607901,0.7123834311658329
vehicle3,0.5950241057079937,0.6971169816468616
vowel0,0.8899529819351646,0.5855668378689135
winequality-red-3_vs_5,0.7328928046989721,0.9645646029406517
winequality-red-4,0.6062266591813322,0.9338076094250156
winequality-red-8_vs_6-7,0.5951148280897385,0.9625620373521151
winequality-red-8_vs_6,0.5799373040752351,0.9527250964708358
winequality-white-3-9_vs_5,0.7930816746739877,0.8572960956251661
winequality-white-3_vs_7,0.8464204545454546,0.5611300127237351
winequality-white-9_vs_4,0.5742331288343558,0.9693385427621097
wisconsinImb,0.9638414565192809,0.915106890085585
yeast-0-2-5-6_vs_3-7-8-9,0.5977007645515933,0.7501089551244478
