folder_name,Avg_KNN_mm_auc,Avg_KNN_mm_avgprecision
abalone-17_vs_7-8-9-10,0.8469903206291591,0.8476183067691185
abalone-19_vs_10-11-12-13,0.6357704402515724,0.9700722027108035
abalone-20_vs_8-9-10,0.8567358567358568,0.9018576923069896
abalone-21_vs_8,0.9351221970269589,0.53065016160897
abalone-3_vs_11,0.7080082135523614,0.960015625289623
abalone19,0.737770098985997,0.9845773704329261
abalone9-18,0.8464648558988181,0.7562707139271599
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8730769230769231,0.5127073710407761
dermatology-6,0.7264792899408283,0.8959332786909192
ecoli-0-1-3-7_vs_2-6,0.7924921793534931,0.9114885760248584
ecoli-0-1-4-6_vs_5,0.7909615384615384,0.807331019850467
ecoli-0-1-4-7_vs_2-3-5-6,0.7858025384701786,0.7249247248640343
ecoli-0-1-4-7_vs_5-6,0.7942671009771987,0.8065512992372175
ecoli-0-1_vs_2-3-5,0.7880681818181818,0.6868847624451823
ecoli-0-1_vs_5,0.7831818181818182,0.7904451529166404
ecoli-0-2-3-4_vs_5,0.8244505494505494,0.7395551341815334
ecoli-0-2-6-7_vs_3-5,0.8215571557155716,0.6391510525613019
ecoli-0-3-4-6_vs_5,0.8108108108108109,0.7618405274748274
ecoli-0-3-4-7_vs_5-6,0.8179310344827586,0.754411766547134
ecoli-0-3-4_vs_5,0.8255555555555556,0.7367039015344042
ecoli-0-4-6_vs_5,0.8196721311475409,0.7117354745629008
ecoli-0-6-7_vs_3-5,0.8211363636363637,0.6338432675375733
ecoli-0-6-7_vs_5,0.80325,0.7390063431381193
ecoli-0_vs_1,0.7701389519571338,0.5015201124429103
ecoli1,0.6361630647344934,0.6692947795233782
ecoli2,0.5507854821235103,0.8366302455605292
ecoli3,0.505078310393925,0.8924881295629427
ecoli4,0.7716772151898734,0.8614649739207481
flare-F,0.728966332492214,0.9010179855915847
glass-0-1-2-3_vs_4-5-6,0.817274148923373,0.5635886938861614
glass-0-1-4-6_vs_2,0.5863579474342928,0.9291284207302151
glass-0-1-5_vs_2,0.5161290322580645,0.9033022255531333
glass-0-1-6_vs_2,0.5378151260504203,0.9152451803231468
glass-0-1-6_vs_5,0.8393650793650793,0.8315894381418116
glass-0-4_vs_5,0.8326639892904952,0.6961392819235956
glass-0-6_vs_5,0.8664421997755332,0.704836716678269
glass0,0.7224206349206349,0.7720310438391131
glass1,0.5058161708619375,0.6367768210558038
glass2,0.6028665273215885,0.934302586010464
glass4,0.8936088786835056,0.670338715111733
glass5,0.8086720867208672,0.8763030667574918
glass6,0.6937558247903075,0.7486689347574964
habermanImb,0.677201646090535,0.5743511910003748
iris0,0.77,0.7516272708031256
kr-vs-k-one_vs_fifteen,0.8167631460567748,0.9037420404403994
kr-vs-k-three_vs_eleven,0.7781779092804554,0.9233479264592485
kr-vs-k-zero-one_vs_draw,0.7954050003406226,0.7400417822631506
kr-vs-k-zero_vs_eight,0.5022356620402677,0.9475709922313517
kr-vs-k-zero_vs_fifteen,0.6935210834102801,0.7494715653564887
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5648715217680734,0.9041359137529164
