folder_name,GMM_auc,GMM_avgprecision
abalone-17_vs_7-8-9-10,0.8242286751361162,0.9858919907661919
abalone-19_vs_10-11-12-13,0.6044614779874213,0.9843938336309639
abalone-20_vs_8-9-10,0.8704924704924705,0.9924306951601025
abalone-21_vs_8,0.937137818090199,0.986646861847601
abalone-3_vs_11,0.9611225188227241,0.983405502111818
abalone19,0.6935055528730083,0.9948236670110826
abalone9-18,0.8397608680627549,0.9669110298954731
car-good,0.5081112246769924,0.9591767011846112
car-vgood,0.510222489476849,0.961217183770883
cleveland-0_vs_4,0.8418269230769231,0.9543197493460741
dermatology-6,0.8022189349112426,0.9658590079703588
ecoli-0-1-3-7_vs_2-6,0.8618352450469239,0.984311879432068
ecoli-0-1-4-6_vs_5,0.7880769230769231,0.9552057690892481
ecoli-0-1-4-7_vs_2-3-5-6,0.7937773784117713,0.9474154937614486
ecoli-0-1-4-7_vs_5-6,0.8121172638436482,0.9548857776744288
ecoli-0-1_vs_2-3-5,0.8085227272727273,0.9398943550158334
ecoli-0-1_vs_5,0.815,0.949005404504312
ecoli-0-2-3-4_vs_5,0.7824175824175824,0.9371437283319795
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,0.9396289928405478
ecoli-0-3-4-6_vs_5,0.7672972972972973,0.9369259174477768
ecoli-0-3-4-7_vs_5-6,0.796551724137931,0.9402867199325682
ecoli-0-3-4_vs_5,0.7816666666666666,0.9363999582605486
ecoli-0-4-6_vs_5,0.7759562841530054,0.936954633705169
ecoli-0-6-7_vs_3-5,0.8054545454545454,0.9392250669263873
ecoli-0-6-7_vs_5,0.78375,0.9427187608284278
ecoli-0_vs_1,0.7818545091272363,0.8703650016366848
ecoli1,0.596399739256882,0.8144961335663623
ecoli2,0.5809859154929577,0.8665267699104952
ecoli3,0.6055054579971524,0.9189288722494974
ecoli4,0.8680379746835443,0.9652457504551695
flare-F,0.8209438723317193,0.9765043845583905
glass-0-1-2-3_vs_4-5-6,0.8521592686154217,0.8546051975227817
glass-0-1-4-6_vs_2,0.541927409261577,0.9053787206074353
glass-0-1-5_vs_2,0.5328273244781784,0.893701068135524
glass-0-1-6_vs_2,0.5011764705882353,0.9084320903845193
glass-0-1-6_vs_5,0.6577777777777778,0.9615759578602312
glass-0-4_vs_5,0.7483266398929049,0.9230236582616417
glass-0-6_vs_5,0.5993265993265994,0.9210604266947293
glass0,0.6831349206349207,0.5160739094152373
glass1,0.5851449275362318,0.5803205496498294
glass2,0.5792773962376829,0.9009711709381196
glass4,0.801377726750861,0.961011583320578
glass5,0.629810298102981,0.964751255102299
glass6,0.8542404473438956,0.9179587667031552
habermanImb,0.5698765432098766,0.7529198351285212
iris0,0.502,0.6883801548988435
kr-vs-k-one_vs_fifteen,0.9998875393612235,0.9821921299066242
