folder_name,SO_GAAL_auc,SO_GAAL_avgprecision
abalone-17_vs_7-8-9-10,0.6073200241984271,0.9793183651738976
abalone-19_vs_10-11-12-13,0.5734276729559749,0.9747068688483275
abalone-20_vs_8-9-10,0.7121082621082622,0.9711064826782587
abalone-21_vs_8,0.538044847568657,0.9672629692541796
abalone-3_vs_11,0.9956194387405887,0.9838957057355108
abalone19,0.6561745533558667,0.9945163587477565
abalone9-18,0.6978021978021978,0.8135229766475448
car-good,0.5146106874230155,0.9535342462602305
car-vgood,0.6614459503214765,0.9738826651604716
cleveland-0_vs_4,0.5,0.9248554913294798
dermatology-6,0.9558431952662721,0.9697668683871367
ecoli-0-1-3-7_vs_2-6,0.5922836287799791,0.977993478842762
ecoli-0-1-4-6_vs_5,0.5019230769230769,0.9283154121863799
ecoli-0-1-4-7_vs_2-3-5-6,0.6898236549477703,0.930818480466324
ecoli-0-1-4-7_vs_5-6,0.5074918566775244,0.9233243381569639
ecoli-0-1_vs_2-3-5,0.5204545454545455,0.9049998651276362
ecoli-0-1_vs_5,0.6163636363636364,0.8913732067063096
ecoli-0-2-3-4_vs_5,0.5741758241758241,0.8857142857142857
ecoli-0-2-6-7_vs_3-5,0.5024752475247525,0.9013452914798207
ecoli-0-3-4-6_vs_5,0.5621621621621622,0.8901098901098901
ecoli-0-3-4-7_vs_5-6,0.7633620689655173,0.7889818784819616
ecoli-0-3-4_vs_5,0.6987499999999999,0.8375086901402691
ecoli-0-4-6_vs_5,0.506967213114754,0.9
ecoli-0-6-7_vs_3-5,0.7231818181818183,0.8242957545283127
ecoli-0-6-7_vs_5,0.52,0.9056603773584906
ecoli-0_vs_1,0.934247570611207,0.9592886825075768
ecoli1,0.8296645439502582,0.5298195930444903
ecoli2,0.8789951245937161,0.549431515529632
ecoli3,0.6016136687233034,0.8785626663558729
ecoli4,0.9623417721518988,0.7100793902263076
flare-F,0.595830775875787,0.9676466565904879
glass-0-1-2-3_vs_4-5-6,0.648622639239745,0.7621868524074665
glass-0-1-4-6_vs_2,0.5,0.9170731707317074
glass-0-1-5_vs_2,0.610056925996205,0.9206535087113132
glass-0-1-6_vs_2,0.5,0.9114583333333334
glass-0-1-6_vs_5,0.5,0.9510869565217391
glass-0-4_vs_5,0.5,0.9021739130434783
glass-0-6_vs_5,0.5,0.9166666666666666
glass0,0.6390873015873015,0.6069829733460308
glass1,0.5933924485125859,0.6063921528699072
glass2,0.6636309346073455,0.9410062643226164
glass4,0.5,0.9392523364485982
glass5,0.5,0.9579439252336449
glass6,0.7666356011183598,0.6711398686949622
habermanImb,0.5096570644718793,0.7390244834109811
iris0,0.9906,0.8066549502806722
kr-vs-k-one_vs_fifteen,0.8901673887823472,0.9808998350756637
kr-vs-k-three_vs_eleven,0.8695830846029398,0.9847998192226805
kr-vs-k-zero-one_vs_draw,0.7367599972750188,0.9767918404370398
kr-vs-k-zero_vs_eight,0.6710346075314673,0.9866703374450067
kr-vs-k-zero_vs_fifteen,0.9309018159433672,0.9934058195618155
led7digit-0-2-4-5-6-7-8-9_vs_1,0.656037811210225,0.9217712568206744
lymphography-normal-fibrosis,0.5892018779342723,0.9562394576690116
new-thyroid1,0.5,0.8372093023255813
new-thyroid2,0.6706349206349207,0.8773220473242898
page-blocks-1-3_vs_4,0.5,0.940677966101695
page-blocks0,0.5761402245220686,0.9109984121214163
pimaImb,0.5018656716417911,0.6518873151760753
poker-8-9_vs_5,0.6276878048780488,0.9683208217879961
poker-8-9_vs_6,0.5849452054794521,0.977863954029935
poker-8_vs_6,0.5082997582594682,0.9867216795801395
poker-9_vs_7,0.7367584745762712,0.9382160030326676
segment0,0.5071387870512724,0.85568300705497
shuttle-2_vs_5,0.5100541594048087,0.9855100165881242
shuttle-6_vs_2-3,0.5204545454545455,0.9547511312217195
shuttle-c0-vs-c4,0.5034788741791287,0.9331834414077782
shuttle-c2-vs-c4,0.5,0.9534883720930233
vehicle0,0.5,0.7647754137115839
vehicle1,0.5,0.7434988179669031
vehicle2,0.5,0.7423167848699763
vehicle3,0.5,0.7494089834515367
vowel0,0.5958054936896808,0.9292013866801652
winequality-red-3_vs_5,0.7581497797356828,0.9906704433349436
winequality-red-4,0.6107178598452487,0.9734889726978335
winequality-red-8_vs_6,0.6429815395332636,0.9793193159537217
winequality-red-8_vs_6-7,0.600524359484933,0.982476070859907
winequality-white-3-9_vs_5,0.5,0.9831309041835358
winequality-white-3_vs_7,0.5,0.9777777777777777
winequality-white-9_vs_4,0.5030674846625767,0.9700598802395209
wisconsinImb,0.9818688981868898,0.9703735392139712
yeast-0-2-5-6_vs_3-7-8-9,0.580579273396953,0.9137104030828097
yeast-0-2-5-7-9_vs_3-6-8,0.5046207935710697,0.8985179748386867
yeast-0-3-5-9_vs_7-8,0.6347807017543861,0.9212948251786983
yeast-0-5-6-7-9_vs_4,0.7461668105397296,0.775657555253244
yeast-1-2-8-9_vs_7,0.594910941475827,0.9483657703875049
yeast-1-4-5-8_vs_7,0.565158371040724,0.9306589328481433
yeast-1_vs_7,0.6221445221445221,0.898614587659873
yeast-2_vs_4,0.6384195146741203,0.913274891478694
yeast-2_vs_8,0.7769480519480519,0.9677434643838406
yeast1,0.5070029496569781,0.7162549076698131
yeast3,0.5751266701652865,0.8744552317904984
yeast4,0.7448791100529534,0.9014850046040801
yeast5,0.5965751262626264,0.9442044228328854
yeast6,0.5926451740116336,0.981502873481331
zoo-3,0.5479166666666666,0.9393347465976342
