folder_name,MO_GAAL_auc,MO_GAAL_avgprecision
abalone-17_vs_7-8-9-10,0.6401580459770115,0.9296516763643176
abalone-19_vs_10-11-12-13,0.5649371069182391,0.9758054993551609
abalone-20_vs_8-9-10,0.7301180301180301,0.9699492424402346
abalone-21_vs_8,0.7784076593600403,0.9841732123038
abalone-3_vs_11,0.9682409308692677,0.983587905661446
abalone19,0.6322353331723805,0.9943302751169382
abalone9-18,0.675858732462506,0.8478509987883763
car-good,0.5885944911811725,0.9671430441676068
car-vgood,0.5654285582126833,0.9591319262023243
cleveland-0_vs_4,0.5,0.9248554913294798
dermatology-6,0.9781065088757397,0.9697641273230699
ecoli-0-1-3-7_vs_2-6,0.5565693430656935,0.972
ecoli-0-1-4-6_vs_5,0.6778846153846154,0.8821457650080976
ecoli-0-1-4-7_vs_2-3-5-6,0.6287768168033248,0.9314184976462931
ecoli-0-1-4-7_vs_5-6,0.5,0.9246987951807228
ecoli-0-1_vs_2-3-5,0.5158143939393939,0.8971888590317436
ecoli-0-1_vs_5,0.8571590909090909,0.7087981075452471
ecoli-0-2-3-4_vs_5,0.5119505494505494,0.9029576682158011
ecoli-0-2-6-7_vs_3-5,0.668091809180918,0.9285487760765571
ecoli-0-3-4-6_vs_5,0.5027027027027027,0.9019607843137255
ecoli-0-3-4-7_vs_5-6,0.7592241379310345,0.7346873117054461
ecoli-0-3-4_vs_5,0.9368055555555554,0.6426206184362537
ecoli-0-4-6_vs_5,0.7666666666666666,0.7234776822048087
ecoli-0-6-7_vs_3-5,0.8732954545454545,0.6599844340309873
ecoli-0-6-7_vs_5,0.517875,0.9118897306397307
ecoli-0_vs_1,0.7863046044864227,0.7894417827636245
ecoli1,0.5740360026074312,0.7644786890306233
ecoli2,0.8928087757313109,0.9128045915703181
ecoli3,0.7223540579022306,0.9289654546350259
ecoli4,0.7787974683544304,0.8104843133024039
flare-F,0.562879356202687,0.9628080563751502
glass-0-1-2-3_vs_4-5-6,0.8374834596415253,0.5851948136970877
glass-0-1-4-6_vs_2,0.6683354192740927,0.939210921070371
glass-0-1-5_vs_2,0.6242884250474383,0.9198136200984177
glass-0-1-6_vs_2,0.5,0.9114583333333334
glass-0-1-6_vs_5,0.9219047619047619,0.5913165266106443
glass-0-4_vs_5,0.5120481927710843,0.9
glass-0-6_vs_5,0.6071829405162739,0.5952980165372548
glass0,0.5,0.6728971962616823
glass1,0.5125858123569793,0.6711374969393127
glass2,0.5853986264556584,0.8776929738956551
glass4,0.815154994259472,0.7850047240108191
glass5,0.8509485094850948,0.7332081154101759
glass6,0.651071761416589,0.8130785185774261
habermanImb,0.5412620027434842,0.7562566191544057
iris0,0.9057999999999999,0.798289764855034
kr-vs-k-one_vs_fifteen,0.8873144399460189,0.9808559149168835
kr-vs-k-three_vs_eleven,0.8865854291572581,0.9849412940250805
kr-vs-k-zero-one_vs_draw,0.6825652292390489,0.975329022005617
kr-vs-k-zero_vs_eight,0.7589749554159883,0.9884943090600482
kr-vs-k-zero_vs_fifteen,0.9198385828118054,0.9933701673937302
led7digit-0-2-4-5-6-7-8-9_vs_1,0.7841499134602583,0.9344511419119684
lymphography-normal-fibrosis,0.6431924882629108,0.9633661211161973
new-thyroid1,0.5,0.8372093023255813
new-thyroid2,0.5,0.8372093023255813
page-blocks-1-3_vs_4,0.5833333333333333,0.9296482412060302
page-blocks0,0.5,0.897843567251462
pimaImb,0.5002537313432835,0.6509193246798661
poker-8-9_vs_5,0.6301560975609756,0.9723961828329936
poker-8-9_vs_6,0.5920821917808219,0.9769763510563797
poker-8_vs_6,0.5228847703464947,0.9887989936977885
poker-9_vs_7,0.7722457627118644,0.9276381095562657
segment0,0.5012632642748863,0.8571428571428572
shuttle-2_vs_5,0.6824740915650006,0.9895366751278423
shuttle-6_vs_2-3,0.5022727272727272,0.9563318777292577
shuttle-c0-vs-c4,0.523165489568143,0.9355874550415078
shuttle-c2-vs-c4,0.7703252032520325,0.9685599038818801
vehicle0,0.5,0.7647754137115839
vehicle1,0.5,0.7434988179669031
vehicle2,0.5,0.7423167848699763
vehicle3,0.5,0.7494089834515367
vowel0,0.5739359069537244,0.9246277218299648
winequality-red-3_vs_5,0.7349486049926578,0.9900640173487678
winequality-red-4,0.6030840391515535,0.9730885302999887
winequality-red-8_vs_6,0.5360066179031696,0.9743981174669474
winequality-red-8_vs_6-7,0.5694942254082039,0.981759994883947
winequality-white-3-9_vs_5,0.5003431708991077,0.9831195138419987
winequality-white-3_vs_7,0.5,0.9777777777777777
winequality-white-9_vs_4,0.5987730061349694,0.9623058542413381
wisconsinImb,0.9684873157676506,0.9590253030807017
yeast-0-2-5-6_vs_3-7-8-9,0.6175567833026396,0.8056379696423658
yeast-0-2-5-7-9_vs_3-6-8,0.7984932194876945,0.5175570428588483
yeast-0-3-5-9_vs_7-8,0.5478070175438596,0.9051112089822678
yeast-0-5-6-7-9_vs_4,0.5551033830723064,0.883814726896015
yeast-1-2-8-9_vs_7,0.7529625590694293,0.9796729968060739
yeast-1-4-5-8_vs_7,0.542081447963801,0.9589914185268764
yeast-1_vs_7,0.7121989121989123,0.8590294742980624
yeast-2_vs_4,0.512683691187058,0.9027128903516719
yeast-2_vs_8,0.8220779220779221,0.9753141767960575
yeast1,0.5043073829803688,0.7146126102639301
yeast3,0.6626556382736633,0.8411451511657215
yeast4,0.7193601795219134,0.9230618659326003
yeast5,0.7119949494949495,0.9180813142565752
yeast6,0.8393769101843636,0.9111254698902308
zoo-3,0.56875,0.9400243575771002
