folder_name,LODA_auc,LODA_avgprecision
abalone-17_vs_7-8-9-10,0.6676346037507562,0.9271599359402188
abalone-19_vs_10-11-12-13,0.5561517295597485,0.9819183640467902
abalone-20_vs_8-9-10,0.6516280016280016,0.9639181164892998
abalone-21_vs_8,0.7748803224993701,0.8146733551815731
abalone-3_vs_11,0.5507186858316222,0.8228995647006951
abalone19,0.5688676967648478,0.9936827982389345
abalone9-18,0.6173197871311078,0.8497917673189886
car-good,0.6787395934341449,0.9004204747227743
car-vgood,0.6442758684490495,0.9454612364884128
cleveland-0_vs_4,0.7192307692307693,0.7153344921485221
dermatology-6,0.6226331360946745,0.9285865503521659
ecoli-0-1-3-7_vs_2-6,0.8388946819603754,0.7958411605127953
ecoli-0-1-4-6_vs_5,0.7794230769230769,0.7890515165569911
ecoli-0-1-4-7_vs_2-3-5-6,0.672245310569471,0.6601943215460254
ecoli-0-1-4-7_vs_5-6,0.8016938110749185,0.7411622675018176
ecoli-0-1_vs_2-3-5,0.7878787878787878,0.7496675612375622
ecoli-0-1_vs_5,0.8061363636363637,0.7346176529610409
ecoli-0-2-3-4_vs_5,0.6225274725274725,0.875589657838328
ecoli-0-2-6-7_vs_3-5,0.6557155715571557,0.7965217316169928
ecoli-0-3-4-6_vs_5,0.7494594594594595,0.8035389185916055
ecoli-0-3-4-7_vs_5-6,0.6832758620689655,0.7303252846519035
ecoli-0-3-4_vs_5,0.6683333333333333,0.8430099458797906
ecoli-0-4-6_vs_5,0.6898907103825136,0.818110344338429
ecoli-0-6-7_vs_3-5,0.7602272727272728,0.6919883108208112
ecoli-0-6-7_vs_5,0.6775,0.8108933415245202
ecoli-0_vs_1,0.6604304786122969,0.5844196129295317
ecoli1,0.7857895000752144,0.5235813346705811
ecoli2,0.6046180931744312,0.8760722297058763
ecoli3,0.5586141433317513,0.8815800591625598
ecoli4,0.7504746835443038,0.8714235874946568
flare-F,0.7921184841664961,0.8301134284983334
glass-0-1-2-3_vs_4-5-6,0.9242150848069288,0.8614483034479339
glass-0-1-4-6_vs_2,0.7449937421777222,0.9446443727998909
glass-0-1-5_vs_2,0.6823529411764706,0.92833421916483
glass-0-1-6_vs_2,0.7220168067226891,0.9378558919356635
glass-0-1-6_vs_5,0.5314285714285715,0.9315141373150153
glass-0-4_vs_5,0.6680053547523428,0.7463833372401392
glass-0-6_vs_5,0.595959595959596,0.8557186210198409
glass0,0.5883928571428572,0.7333718271616865
glass1,0.5665522501906941,0.6790657784391156
glass2,0.6984174380412063,0.9440837900193986
glass4,0.8453884424033677,0.7323510153583276
glass5,0.5555555555555556,0.9365916471847711
glass6,0.9030754892823859,0.6009920536138739
habermanImb,0.6569272976680384,0.5769063236496812
iris0,0.8016000000000001,0.6673557877909133
kr-vs-k-one_vs_fifteen,0.6544498899069536,0.9294471481391617
kr-vs-k-three_vs_eleven,0.6485980257295371,0.9492262690314316
kr-vs-k-zero-one_vs_draw,0.5071087948770352,0.9612994809705994
kr-vs-k-zero_vs_eight,0.5468972112377555,0.983719979996151
kr-vs-k-zero_vs_fifteen,0.759703840497931,0.9922886095763299
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6539408866995073,0.9170183551941724
lymphography-normal-fibrosis,0.585680751173709,0.9617451011656455
new-thyroid1,0.8025396825396826,0.6533202038860155
new-thyroid2,0.761904761904762,0.6911596639294786
page-blocks-1-3_vs_4,0.8910472972972973,0.5212550071621556
page-blocks0,0.6776800041655031,0.6617156500690821
pimaImb,0.6334701492537314,0.5548212013088395
poker-8-9_vs_5,0.5338926829268293,0.9814821320291369
poker-8-9_vs_6,0.511041095890411,0.9809369715010434
poker-8_vs_6,0.6666398066075745,0.9916070960735843
poker-9_vs_7,0.763771186440678,0.9273471411238285
segment0,0.8249660953691573,0.916375493786577
shuttle-2_vs_5,0.882323544661207,0.9917545569082065
shuttle-6_vs_2-3,0.6636363636363636,0.9539571654001849
shuttle-c0-vs-c4,0.6572022226670098,0.7460251010250168
shuttle-c2-vs-c4,0.5853658536585367,0.941976373929479
vehicle0,0.5021785900134366,0.7641087611996162
vehicle1,0.6197240884147905,0.6820285138397445
vehicle2,0.5298311225384211,0.7035364321146863
vehicle3,0.648450985060413,0.6671613148412199
vowel0,0.9096387032912645,0.5320566497854913
winequality-red-3_vs_5,0.5406754772393538,0.9831543358813268
