folder_name,COF_auc,COF_avgprecision
abalone-17_vs_7-8-9-10,0.8152450090744102,0.9100636682207851
abalone-19_vs_10-11-12-13,0.6432586477987422,0.9566498591161906
abalone-20_vs_8-9-10,0.8688237688237688,0.893466492893928
abalone-21_vs_8,0.9070294784580499,0.7230324055610984
abalone-3_vs_11,0.842984257357974,0.9803921617755932
abalone19,0.5927314703042008,0.9878004247343328
abalone9-18,0.8305342456285854,0.6950885856002654
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.6653846153846155,0.8812935181933385
dermatology-6,0.6625739644970414,0.956014892962764
ecoli-0-1-3-7_vs_2-6,0.7017726798748696,0.9467243869175739
ecoli-0-1-4-6_vs_5,0.6078846153846154,0.8757179437796297
ecoli-0-1-4-7_vs_2-3-5-6,0.6452881051331012,0.8663890621781916
ecoli-0-1-4-7_vs_5-6,0.6497719869706841,0.8836096108742151
ecoli-0-1_vs_2-3-5,0.5956439393939394,0.8536195512269509
ecoli-0-1_vs_5,0.6011363636363636,0.8865526737820466
ecoli-0-2-3-4_vs_5,0.5821428571428572,0.8317811301763742
ecoli-0-2-6-7_vs_3-5,0.6354635463546355,0.7779345738688747
ecoli-0-3-4-6_vs_5,0.5935135135135134,0.8539231712156465
ecoli-0-3-4-7_vs_5-6,0.6410344827586206,0.8584330741290795
ecoli-0-3-4_vs_5,0.6019444444444445,0.8249672289349155
ecoli-0-4-6_vs_5,0.5986338797814208,0.8255260449699873
ecoli-0-6-7_vs_3-5,0.6443181818181819,0.7716361018317276
ecoli-0-6-7_vs_5,0.6124999999999999,0.8668305345716132
ecoli-0_vs_1,0.5351012623739897,0.6023806288575477
ecoli1,0.5605475605475606,0.6502653952341053
ecoli2,0.570964247020585,0.8650635826502056
ecoli3,0.5534883720930233,0.9053322427815595
ecoli4,0.6036392405063291,0.926365777540977
flare-F,0.6651208256609606,0.943964594591621
glass-0-1-2-3_vs_4-5-6,0.6389991579453868,0.5059427121870272
glass-0-1-4-6_vs_2,0.5478723404255319,0.925093990878668
glass-0-1-5_vs_2,0.5612903225806452,0.9123592294367328
glass-0-1-6_vs_2,0.5257142857142858,0.9159217804738857
glass-0-1-6_vs_5,0.8825396825396825,0.7628960134264092
glass-0-4_vs_5,0.8165997322623829,0.7357963307312487
glass-0-6_vs_5,0.9124579124579124,0.6154601571268238
glass0,0.6592261904761905,0.7533265619658324
glass1,0.5604500381388253,0.6223705979778421
glass2,0.5727082711257092,0.9320311738781761
glass4,0.8021431305013393,0.6410527307684024
glass5,0.8617886178861789,0.8299396784258012
glass6,0.556197576887232,0.8253191601058618
habermanImb,0.6437311385459534,0.6329258182067714
iris0,0.5304,0.5521479129452065
kr-vs-k-one_vs_fifteen,0.6468854322039918,0.9045879621142806
kr-vs-k-three_vs_eleven,0.5053985309766669,0.9667072739571166
kr-vs-k-zero-one_vs_draw,0.6664759179780638,0.8886775205276568
kr-vs-k-zero_vs_eight,0.5486547259052492,0.9621523034214229
