folder_name,VAR_LMDD_auc,VAR_LMDD_avgprecision
abalone-17_vs_7-8-9-10,0.6817188445251059,0.8923251473080751
abalone-19_vs_10-11-12-13,0.5408805031446541,0.97759984049178
abalone-20_vs_8-9-10,0.6958078958078958,0.9584499023694306
abalone-21_vs_8,0.8716301335348955,0.5978479938385644
abalone-3_vs_11,0.7197125256673511,0.9701195219123506
abalone19,0.6157502414292613,0.9868955818064795
abalone9-18,0.6897332227520907,0.8115337681801166
car-good,0.5693669138908544,0.9462376810839497
car-vgood,0.6423377584532125,0.9348001371339454
cleveland-0_vs_4,0.5697115384615384,0.8928264895027901
dermatology-6,0.6420118343195267,0.9441340782122905
ecoli-0-1-3-7_vs_2-6,0.5802919708029198,0.9687543711533168
ecoli-0-1-4-6_vs_5,0.5448076923076923,0.9075543105612008
ecoli-0-1-4-7_vs_2-3-5-6,0.6562956306862855,0.8426827860169863
ecoli-0-1-4-7_vs_5-6,0.5744625407166124,0.9043139130530036
ecoli-0-1_vs_2-3-5,0.6928030303030304,0.801932821876792
ecoli-0-1_vs_5,0.6509090909090909,0.8691361378740211
ecoli-0-2-3-4_vs_5,0.6980769230769232,0.7996003275410519
ecoli-0-2-6-7_vs_3-5,0.9237173717371736,0.6097851435052679
ecoli-0-3-4-6_vs_5,0.6997297297297298,0.7430212021588125
ecoli-0-3-4-7_vs_5-6,0.7907758620689653,0.6523425016543063
ecoli-0-3-4_vs_5,0.7358333333333333,0.8156342289046309
ecoli-0-4-6_vs_5,0.5677595628415301,0.808925135075252
ecoli-0-6-7_vs_3-5,0.8093181818181818,0.5045794563027203
ecoli-0-6-7_vs_5,0.7475,0.6249571741396039
ecoli-0_vs_1,0.8371174280265189,0.518283021054921
ecoli1,0.7175450032592889,0.6146641812931756
ecoli2,0.7124864572047671,0.8730902468259649
ecoli3,0.7119601328903653,0.7729115707973468
ecoli4,0.5597310126582279,0.9086065894282396
flare-F,0.6572665893746165,0.915394285651327
glass-0-1-2-3_vs_4-5-6,0.7282569469505593,0.5340530480785872
glass-0-1-4-6_vs_2,0.6567584480600751,0.9209708273553324
glass-0-1-5_vs_2,0.6667931688804554,0.9147707000347708
glass-0-1-6_vs_2,0.6623529411764706,0.9332209163338954
glass-0-1-6_vs_5,0.5749206349206349,0.7947743106904598
glass-0-4_vs_5,0.6191432396251674,0.7195083830633703
glass-0-6_vs_5,0.6195286195286195,0.7156084656084656
glass0,0.5640873015873016,0.7213615638716508
glass1,0.5379958047292144,0.6325501942045879
glass2,0.6572111077933711,0.9243423792626652
glass4,0.5641025641025641,0.9221525717499837
glass5,0.6747967479674797,0.7821355108926277
glass6,0.6931966449207828,0.7630531641393251
habermanImb,0.5521262002743483,0.7550530919448617
iris0,0.7485999999999999,0.5408068103444015
kr-vs-k-one_vs_fifteen,0.578701730710041,0.968082871211529
kr-vs-k-three_vs_eleven,0.6590468651318919,0.973545914214326
kr-vs-k-zero-one_vs_draw,0.6149294911097487,0.9670190898752126
kr-vs-k-zero_vs_eight,0.6036933653821301,0.983806530257735
kr-vs-k-zero_vs_fifteen,0.6322714681440443,0.9886677344103844
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9140260950605779,0.5359224038920889
lymphography-normal-fibrosis,0.5839201877934272,0.8871143871143872
new-thyroid1,0.5626984126984127,0.8023532668881506
new-thyroid2,0.5813492063492063,0.8058139534883721
page-blocks-1-3_vs_4,0.6164333976833978,0.8479404473653869
page-blocks0,0.5305616474418751,0.8451038966751506
pimaImb,0.5929850746268657,0.5767199079118028
poker-8-9_vs_5,0.6795317073170732,0.8582773023762749
poker-8-9_vs_6,0.5870410958904109,0.9776536048591131
poker-8_vs_6,0.5053182917002418,0.9868816530932812
poker-9_vs_7,0.833156779661017,0.8966678933214084
segment0,0.5648473101302275,0.8578731582280301
shuttle-2_vs_5,0.5015304560759106,0.9852231604342582
shuttle-6_vs_2-3,0.9,0.8086956521739131
shuttle-c0-vs-c4,0.5078417636462415,0.9175834677974992
shuttle-c2-vs-c4,0.5040650406504066,0.9534883720930233
vehicle0,0.616692426584235,0.7647754137115839
vehicle1,0.5515227887144396,0.7395873783238508
vehicle2,0.5223477765441478,0.6678251985380477
vehicle3,0.534268793524195,0.7442412586583798
vowel0,0.5037490720118782,0.8993970786659362
winequality-red-3_vs_5,0.6358296622613804,0.9855282199710564
winequality-red-4,0.5468158851814787,0.9682771728197347
winequality-red-8_vs_6,0.5046151166840822,0.9697307562525523
winequality-red-8_vs_6-7,0.504646223284216,0.9776182611063524
winequality-white-3-9_vs_5,0.5767879203843514,0.8790590509537878
winequality-white-3_vs_7,0.6607386363636364,0.6730569154055837
winequality-white-9_vs_4,0.5472392638036809,0.9716129096129096
wisconsinImb,0.5925213916845715,0.5418125927871915
yeast-0-2-5-6_vs_3-7-8-9,0.7793626876499804,0.5893956879555878
yeast-0-2-5-7-9_vs_3-6-8,0.8626876499804677,0.5219446372408312
yeast-0-3-5-9_vs_7-8,0.544517543859649,0.8879092615029243
yeast-0-5-6-7-9_vs_4,0.7206396185308505,0.7512912118333752
yeast-1-2-8-9_vs_7,0.6075972373682297,0.9323683769548762
yeast-1-4-5-8_vs_7,0.6115384615384615,0.9117215973925162
yeast-1_vs_7,0.683100233100233,0.8282319744056452
yeast-2_vs_4,0.8613475627832128,0.5400610888651517
yeast-2_vs_8,0.6123376623376624,0.9102496942081801
yeast1,0.5750825793479821,0.7598560649090387
yeast3,0.6148205254431715,0.9042818197791332
yeast4,0.790477949728391,0.8465649410342515
yeast5,0.9532828282828283,0.7264849165204694
