folder_name,BRM_auc,BRM_avgprecision
abalone-17_vs_7-8-9-10,0.8299153055051421,0.9859307604099578
abalone-19_vs_10-11-12-13,0.614190251572327,0.9844464388132371
abalone-20_vs_8-9-10,0.8513024013024013,0.9922509767736348
abalone-21_vs_8,0.9326026706979088,0.9865586629374473
abalone-3_vs_11,0.7151266255989049,0.6057012630757171
abalone19,0.741829128440367,0.9951359427035629
abalone9-18,0.7980510055981754,0.9652492750106585
car-good,0.5215731495313224,0.961187775625306
car-vgood,0.5021416346732042,0.9619916721502427
cleveland-0_vs_4,0.833173076923077,0.9537689572190368
dermatology-6,0.651775147928994,0.9586452844848472
ecoli-0-1-3-7_vs_2-6,0.7732012513034412,0.9823835933625237
ecoli-0-1-4-6_vs_5,0.7976923076923077,0.9551015754116805
ecoli-0-1-4-7_vs_2-3-5-6,0.7833314613051781,0.9461568851174418
ecoli-0-1-4-7_vs_5-6,0.7699022801302932,0.9520645196185269
ecoli-0-1_vs_2-3-5,0.7909090909090909,0.9387743921745613
ecoli-0-1_vs_5,0.801590909090909,0.9477004107189353
ecoli-0-2-3-4_vs_5,0.8085164835164835,0.9378297035034542
ecoli-0-2-6-7_vs_3-5,0.8132313231323133,0.9395853807877512
ecoli-0-3-4-6_vs_5,0.7956756756756758,0.9379511321843528
ecoli-0-3-4-7_vs_5-6,0.8224137931034483,0.940748360206047
ecoli-0-3-4_vs_5,0.8066666666666666,0.9366410480872877
ecoli-0-4-6_vs_5,0.7953551912568306,0.9371686529568599
ecoli-0-6-7_vs_3-5,0.8220454545454545,0.9396203545864188
ecoli-0-6-7_vs_5,0.80525,0.9433274320728539
ecoli-0_vs_1,0.76741440377804,0.8699291120982351
ecoli1,0.6304467733039162,0.8256185412746289
ecoli2,0.5369041170097508,0.860648361253233
ecoli3,0.505078310393925,0.8992051489841562
ecoli4,0.7890822784810126,0.9625938298504599
flare-F,0.7165768714905999,0.9735845954018258
glass-0-1-2-3_vs_4-5-6,0.8030795140141946,0.8498835738976508
glass-0-1-4-6_vs_2,0.5660200250312891,0.9015385738939723
glass-0-1-5_vs_2,0.5096774193548387,0.8980969398023019
glass-0-1-6_vs_2,0.5546218487394958,0.8933441057015536
glass-0-1-6_vs_5,0.8336507936507936,0.9685408799405784
glass-0-4_vs_5,0.785809906291834,0.9338652555771918
glass-0-6_vs_5,0.7721661054994389,0.9431082010883058
glass0,0.734920634920635,0.5143832178293111
glass1,0.5051487414187643,0.6092175326462923
glass2,0.5936100328456255,0.8927742844477016
glass4,0.8936088786835055,0.9640040581530487
glass5,0.775609756097561,0.9715810999296982
glass6,0.7161230195712954,0.9064584581133467
habermanImb,0.6824142661179698,0.7955661815096078
iris0,0.7282,0.6674626546379692
kr-vs-k-one_vs_fifteen,0.7557710064635272,0.9785999693506604
kr-vs-k-three_vs_eleven,0.7568065612914947,0.9809210371094592
kr-vs-k-zero-one_vs_draw,0.7363784998978132,0.9773400364620671
kr-vs-k-zero_vs_eight,0.525987955855367,0.9698597463385042
kr-vs-k-zero_vs_fifteen,0.6518586915632161,0.9833489624920476
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5606111037145519,0.9256437301083685
