folder_name,HBOS_auc,HBOS_avgprecision
abalone-17_vs_7-8-9-10,0.6291855716878402,0.9038924176088211
abalone-19_vs_10-11-12-13,0.5298349056603774,0.9805655487492133
abalone-20_vs_8-9-10,0.6046805046805047,0.9654148658567174
abalone-21_vs_8,0.8156966490299824,0.7055758390221158
abalone-3_vs_11,0.9893223819301848,0.6738625384277559
abalone19,0.5415484669241912,0.9886712725354885
abalone9-18,0.6533623609095307,0.8830105826470587
car-good,0.5050318421259533,0.9604504543363239
car-vgood,0.6403210139229382,0.9690158221408222
cleveland-0_vs_4,0.9528846153846154,0.8113853008589849
dermatology-6,0.6900887573964497,0.87887327444577
ecoli-0-1-3-7_vs_2-6,0.8180396246089677,0.5444965550468235
ecoli-0-1-4-6_vs_5,0.8832692307692308,0.6500677175265455
ecoli-0-1-4-7_vs_2-3-5-6,0.8016398966640458,0.5114309821301002
ecoli-0-1-4-7_vs_5-6,0.8357003257328991,0.540713931272701
ecoli-0-1_vs_2-3-5,0.8791666666666667,0.5455504612736958
ecoli-0-1_vs_5,0.8995454545454545,0.5100526906294377
ecoli-0-2-3-4_vs_5,0.8736263736263736,0.6058157297293265
ecoli-0-2-6-7_vs_3-5,0.8422592259225923,0.6212942317466799
ecoli-0-3-4-6_vs_5,0.8462162162162161,0.705561063457386
ecoli-0-3-4-7_vs_5-6,0.8160344827586207,0.6379718991109309
ecoli-0-3-4_vs_5,0.8711111111111111,0.6073472161627403
ecoli-0-4-6_vs_5,0.8527322404371585,0.6748013439650111
ecoli-0-6-7_vs_3-5,0.8515909090909091,0.6003417701440363
ecoli-0-6-7_vs_5,0.834,0.68939201500318
ecoli-0_vs_1,0.802742711833621,0.5077365357463934
ecoli1,0.6274131274131274,0.7068456739630732
ecoli2,0.5164883531960998,0.845985990006676
ecoli3,0.6319886093972472,0.8595893507817127
ecoli4,0.7976265822784809,0.8123044494988944
flare-F,0.8370615381118007,0.7685091505921409
glass-0-1-2-3_vs_4-5-6,0.8626248045230361,0.5794342928581169
glass-0-1-4-6_vs_2,0.7015018773466833,0.9407788732460234
glass-0-1-5_vs_2,0.605123339658444,0.9126839081502058
glass-0-1-6_vs_2,0.6478991596638656,0.9323446693975537
glass-0-1-6_vs_5,0.7015873015873015,0.9109572419613743
glass-0-4_vs_5,0.7643908969210175,0.782710128748612
glass-0-6_vs_5,0.6711560044893378,0.8284508794879819
glass0,0.6747023809523809,0.7593116564677866
glass1,0.553155987795576,0.6521806335204797
glass2,0.705733054643177,0.9417025705730022
