folder_name,ABOD_auc,ABOD_avgprecision
abalone-17_vs_7-8-9-10,0.8375529340592862,0.8688135535248688
abalone-19_vs_10-11-12-13,0.6221108490566037,0.9705957873531851
abalone-20_vs_8-9-10,0.8351037851037851,0.9113890854821055
abalone-21_vs_8,0.9469639707734946,0.6243979231289478
abalone-3_vs_11,0.9318275154004106,0.9835313901152586
abalone19,0.7193233944954129,0.9853952929724353
abalone9-18,0.8576612067178104,0.6805614521528811
car-good,0.5762332817918949,0.9642119906076491
car-vgood,0.5141819695638096,0.9634011074729686
cleveland-0_vs_4,0.6649038461538461,0.8890339916016771
dermatology-6,0.5846153846153846,0.9256468082516859
ecoli-0-1-3-7_vs_2-6,0.6710114702815433,0.9585935472961363
ecoli-0-1-4-6_vs_5,0.7963461538461538,0.7814641115962144
ecoli-0-1-4-7_vs_2-3-5-6,0.7509828147815343,0.7965813577474046
ecoli-0-1-4-7_vs_5-6,0.7520521172638437,0.8224607058106309
ecoli-0-1_vs_2-3-5,0.7977272727272727,0.684570178402822
ecoli-0-1_vs_5,0.7829545454545455,0.7743723018625288
ecoli-0-2-3-4_vs_5,0.8041208791208792,0.762376497291646
ecoli-0-2-6-7_vs_3-5,0.8026552655265526,0.7338879486927892
ecoli-0-3-4-6_vs_5,0.8043243243243243,0.7586431662244075
ecoli-0-3-4-7_vs_5-6,0.7543103448275863,0.8098830556615011
ecoli-0-3-4_vs_5,0.8019444444444443,0.7618126527613436
ecoli-0-4-6_vs_5,0.8057377049180328,0.7464701501458493
ecoli-0-6-7_vs_3-5,0.8063636363636364,0.7232391753417352
ecoli-0-6-7_vs_5,0.789,0.7701214351376923
ecoli-0_vs_1,0.7195531740986286,0.5303469975799819
ecoli1,0.603219174647746,0.7012939064647596
ecoli2,0.530945287107259,0.8371202106640949
ecoli3,0.5033697199810157,0.8966919176311546
ecoli4,0.7889240506329114,0.8548296096123904
flare-F,0.6662802064152401,0.9708667397677735
glass-0-1-2-3_vs_4-5-6,0.7999518825935282,0.552316289393693
glass-0-1-4-6_vs_2,0.5416145181476846,0.9239904309955735
glass-0-1-5_vs_2,0.5077798861480076,0.8996341755583582
glass-0-1-6_vs_2,0.5129411764705882,0.9131459202624586
glass-0-1-6_vs_5,0.8368253968253968,0.7543120188401207
glass-0-4_vs_5,0.8246318607764391,0.6447889502585065
glass-0-6_vs_5,0.8473625140291807,0.642694034360701
glass0,0.7137896825396826,0.7700116726852047
glass1,0.5137299771167048,0.648916945208957
glass2,0.5936100328456255,0.9339494767497399
glass4,0.8725602755453501,0.7919477440830829
glass5,0.82710027100271,0.7746438359961254
glass6,0.6708294501397949,0.7292378997556203
habermanImb,0.6634293552812072,0.5928094205195857
iris0,0.629,0.6609312752561278
kr-vs-k-one_vs_fifteen,0.6672763217084546,0.9703250927433243
kr-vs-k-three_vs_eleven,0.5123283760284462,0.9717352073920221
kr-vs-k-zero-one_vs_draw,0.6992114585462226,0.9730444933128825
kr-vs-k-zero_vs_eight,0.5078442014938875,0.9773143977634694
kr-vs-k-zero_vs_fifteen,0.5444410245887623,0.9845972923691173
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5114498735188391,0.9181176744444752
lymphography-normal-fibrosis,0.8227699530516432,0.7702158952158952
new-thyroid1,0.7041269841269842,0.7372153453382047
new-thyroid2,0.7041269841269842,0.7372153453382047
page-blocks-1-3_vs_4,0.7948037323037322,0.8150512425989541
page-blocks0,0.5591135489175336,0.7375474239329483
pimaImb,0.5986865671641791,0.5723742869911432
poker-8-9_vs_5,0.8191024390243903,0.9506660974191578
poker-8-9_vs_6,0.8792876712328768,0.7416755986998833
poker-8_vs_6,0.779774375503626,0.9397937732450355
poker-9_vs_7,0.9698093220338982,0.6100255647130647
segment0,0.7089485187170457,0.9061004913839394
shuttle-2_vs_5,0.834798198434562,0.9488654769458345
shuttle-6_vs_2-3,0.980909090909091,0.5371156621156621
shuttle-c0-vs-c4,0.7024466493199516,0.8287402357540231
shuttle-c2-vs-c4,0.9525745257452575,0.6437678062678063
vehicle0,0.602960707711665,0.7964929961023363
vehicle1,0.5403060962833259,0.7391811941458069
vehicle2,0.5682083795944604,0.7285710240124718
vehicle3,0.626979048866139,0.692220167064331
vowel0,0.591870824053452,0.9168223925078051
winequality-red-3_vs_5,0.5352422907488987,0.9824436455834992
