folder_name,OCKRA_auc,OCKRA_avgprecision
abalone-17_vs_7-8-9-10,0.8452208106473079,0.9860971143026007
abalone-19_vs_10-11-12-13,0.6235062893081761,0.9845894750200954
abalone-20_vs_8-9-10,0.8713878713878713,0.9924257175854851
abalone-21_vs_8,0.9201310153691106,0.9864355679144978
abalone-3_vs_11,0.9738535249828885,0.9835843113698518
abalone19,0.7561187228392081,0.9951971163961012
abalone9-18,0.8375146865712904,0.966773328635339
car-good,0.5824531977531426,0.9682375770975639
car-vgood,0.5945418381978814,0.9549164755768269
cleveland-0_vs_4,0.8596153846153847,0.9549306516507655
dermatology-6,0.8607988165680474,0.9672653239812097
ecoli-0-1-3-7_vs_2-6,0.7705943691345151,0.9790609633431252
ecoli-0-1-4-6_vs_5,0.750576923076923,0.9521803539016864
ecoli-0-1-4-7_vs_2-3-5-6,0.8062450859260923,0.9480171935122952
ecoli-0-1-4-7_vs_5-6,0.5886644951140065,0.939240746149397
ecoli-0-1_vs_2-3-5,0.8100378787878788,0.9381157456529854
ecoli-0-1_vs_5,0.8227272727272728,0.9487303357687242
ecoli-0-2-3-4_vs_5,0.8370879120879121,0.9393643737264147
ecoli-0-2-6-7_vs_3-5,0.853060306030603,0.9415345469165457
ecoli-0-3-4-6_vs_5,0.8251351351351351,0.9399111236497406
ecoli-0-3-4-7_vs_5-6,0.815,0.9409725647207527
ecoli-0-3-4_vs_5,0.8519444444444444,0.9400749435506341
ecoli-0-4-6_vs_5,0.6166666666666667,0.922888045810107
ecoli-0-6-7_vs_3-5,0.8386363636363636,0.9404988959205778
ecoli-0-6-7_vs_5,0.63125,0.9312313425166936
ecoli-0_vs_1,0.7907546998456089,0.8793318913957309
ecoli1,0.5797522940380084,0.811268725859061
ecoli2,0.6176191765980498,0.8817280246155909
ecoli3,0.5798766018035121,0.8698035290807307
ecoli4,0.8901898734177215,0.9659144899002804
flare-F,0.7535974902816613,0.9751004956976727
glass-0-1-2-3_vs_4-5-6,0.8851196920485986,0.857271531759223
glass-0-1-4-6_vs_2,0.6267209011264081,0.8274834333898098
glass-0-1-5_vs_2,0.5248576850094877,0.8918960733495851
glass-0-1-6_vs_2,0.5425210084033614,0.9028641577701031
glass-0-1-6_vs_5,0.8082539682539682,0.9675659033262429
glass-0-4_vs_5,0.8500669344042837,0.936658976049124
glass-0-6_vs_5,0.8327721661054994,0.9459139662356458
glass0,0.7165674603174603,0.5187608196836799
glass1,0.5654080854309688,0.532791398949697
glass2,0.6425798745894297,0.854715943252585
glass4,0.892460773057788,0.9637598768286809
glass5,0.7658536585365854,0.9709215000622834
glass6,0.8475302889095992,0.9180698692806147
habermanImb,0.5061728395061729,0.7262164124909223
iris0,0.5039,0.6488076923076923
kr-vs-k-one_vs_fifteen,0.9810000710277719,0.9819932259899636
kr-vs-k-three_vs_eleven,0.8116483687611928,0.9839725849347671
kr-vs-k-zero-one_vs_draw,0.9251141085905035,0.9811183476024502
kr-vs-k-zero_vs_eight,0.6260370628828409,0.9857761400845898
kr-vs-k-zero_vs_fifteen,0.9879792072774529,0.9935591606778502
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5276594328318467,0.9178864556083789
lymphography-normal-fibrosis,0.8110328638497653,0.9720833780763933
new-thyroid1,0.6482539682539683,0.8779288848070503
new-thyroid2,0.5085714285714287,0.8553843577860951
page-blocks-1-3_vs_4,0.8236808236808237,0.9651177073586115
page-blocks0,0.7560098486473221,0.8333526490274968
pimaImb,0.7093134328358209,0.7543310219355266
poker-8-9_vs_5,0.7793560975609756,0.9926248895065436
poker-8-9_vs_6,0.8483835616438355,0.9903226343490248
poker-8_vs_6,0.9449637389202257,0.9936818750678901
poker-9_vs_7,0.9809322033898306,0.981201025175178
segment0,0.7992277577174313,0.6244694436203859
shuttle-2_vs_5,0.9889932097724305,0.9923439074609683
shuttle-6_vs_2-3,0.9818181818181818,0.9754543281133166
shuttle-c0-vs-c4,0.7602674444094968,0.9586197883564362
shuttle-c2-vs-c4,0.9728997289972899,0.9718117308348694
vehicle0,0.5377117426390066,0.789617380905608
vehicle1,0.5581018806825259,0.7833344900699375
vehicle2,0.6489145678723778,0.5528276203075897
vehicle3,0.5755535384798525,0.7957839488486083
vowel0,0.7433679782232121,0.9428114786005998
winequality-red-3_vs_5,0.7584434654919237,0.9902373803287987
winequality-red-4,0.5582635651346138,0.9714330287991021
winequality-red-8_vs_6,0.6664925113200976,0.9786365206216715
winequality-red-8_vs_6-7,0.6162219567237488,0.9767494706508467
winequality-white-3-9_vs_5,0.8511461908030199,0.9904382878327002
winequality-white-3_vs_7,0.8881818181818182,0.9874303623352022
winequality-white-9_vs_4,0.7484662576687117,0.9772960764265112
wisconsinImb,0.9639451166647819,0.7952971883087465
yeast-0-2-5-6_vs_3-7-8-9,0.639433004073888,0.9238977903525047
yeast-0-2-5-7-9_vs_3-6-8,0.7252636865896535,0.9366508631862631
yeast-0-3-5-9_vs_7-8,0.6523684210526316,0.9214963581829368
yeast-0-5-6-7-9_vs_4,0.5522670284046534,0.9115484901955263
yeast-1-2-8-9_vs_7,0.5467466375863324,0.9671621201218391
yeast-1-4-5-8_vs_7,0.5762694821518352,0.9436085889322507
yeast-1_vs_7,0.5557886557886558,0.92568223012065
yeast-2_vs_4,0.784906619235167,0.939321201146459
yeast-2_vs_8,0.7608225108225108,0.9715913972899483
yeast1,0.5122637236381312,0.7212182448766434
yeast3,0.5151237907701454,0.9020666689464062
yeast4,0.6263426515058221,0.9740127133202169
yeast5,0.7302241161616161,0.9809763039880469
yeast6,0.5538795228236222,0.9717967728362558
zoo-3,0.8208333333333333,0.9648932317032207
