folder_name,SOD_auc,SOD_avgprecision
abalone-17_vs_7-8-9-10,0.7431110102843315,0.9148857172203358
abalone-19_vs_10-11-12-13,0.5703321540880503,0.9750535021232377
abalone-20_vs_8-9-10,0.687189662189662,0.9621020328839968
abalone-21_vs_8,0.872511967750063,0.8070918990192082
abalone-3_vs_11,0.6251882272416154,0.9569628372033805
abalone19,0.5495835345243844,0.9894597959299956
abalone9-18,0.7104672057502246,0.8117668170520711
car-good,0.5278498484332277,0.9546368672794635
car-vgood,0.5121282205467413,0.9624124255374256
cleveland-0_vs_4,0.8557692307692308,0.6921344069823497
dermatology-6,0.5563609467455621,0.9296043972848399
ecoli-0-1-3-7_vs_2-6,0.7583420229405631,0.9255855292583702
ecoli-0-1-4-6_vs_5,0.7142307692307692,0.7980370830003758
ecoli-0-1-4-7_vs_2-3-5-6,0.7086936987532292,0.7772375942423033
ecoli-0-1-4-7_vs_5-6,0.713615635179153,0.8368760820214589
ecoli-0-1_vs_2-3-5,0.6709280303030303,0.7371360918206469
ecoli-0-1_vs_5,0.7738636363636363,0.7355033662495085
ecoli-0-2-3-4_vs_5,0.6236263736263736,0.8032132225723829
ecoli-0-2-6-7_vs_3-5,0.7132088208820881,0.7689988285677962
ecoli-0-3-4-6_vs_5,0.6547297297297298,0.7981510500864247
ecoli-0-3-4-7_vs_5-6,0.7007758620689655,0.8012173468231457
ecoli-0-3-4_vs_5,0.6229166666666667,0.8215489765426884
ecoli-0-4-6_vs_5,0.7210382513661202,0.7394792057240865
ecoli-0-6-7_vs_3-5,0.705340909090909,0.7850366110220239
ecoli-0-6-7_vs_5,0.712625,0.7713667918162516
ecoli-0_vs_1,0.6403142312233221,0.5498879590288269
ecoli1,0.5542044827759114,0.713455703100087
ecoli2,0.5353805525460456,0.8248377015956747
ecoli3,0.5453251067869008,0.9018492081846501
ecoli4,0.5467563291139241,0.871590332617206
flare-F,0.5887267271363295,0.9396670269402398
glass-0-1-2-3_vs_4-5-6,0.8222061830867317,0.6227490254705719
glass-0-1-4-6_vs_2,0.590738423028786,0.9301308882184199
glass-0-1-5_vs_2,0.530550284629981,0.9060507280878901
glass-0-1-6_vs_2,0.5126050420168067,0.9089264845766107
glass-0-1-6_vs_5,0.8304761904761905,0.746662807778065
glass-0-4_vs_5,0.8995983935742972,0.6244033318202116
glass-0-6_vs_5,0.8754208754208755,0.6802455492069018
glass0,0.6566468253968254,0.7550527984892021
glass1,0.529462242562929,0.6517931745501044
glass2,0.5279187817258884,0.9268046887928788
glass4,0.8538078836586299,0.7310138264613094
glass5,0.8905149051490515,0.7710214382203178
glass6,0.6885368126747438,0.720656893093535
habermanImb,0.5001920438957477,0.6943232631746036
iris0,0.5919,0.7073783806663702
kr-vs-k-one_vs_fifteen,0.6608660652981982,0.7680581256066302
kr-vs-k-three_vs_eleven,0.5376383157275473,0.9619571921751573
kr-vs-k-zero-one_vs_draw,0.7604145377750527,0.5120175116976055
kr-vs-k-zero_vs_eight,0.5274611666795895,0.9772204541610934
kr-vs-k-zero_vs_fifteen,0.5194931773879142,0.9752924112249237
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5021302090267608,0.9059782129759556
lymphography-normal-fibrosis,0.9776995305164319,0.7850140056022409
new-thyroid1,0.7868253968253969,0.6485356261374472
new-thyroid2,0.7711111111111111,0.6751414425177349
page-blocks-1-3_vs_4,0.859475546975547,0.6570947137627976
page-blocks0,0.5175557381806583,0.7887825392270507
pimaImb,0.561589552238806,0.5740047934337611
poker-8-9_vs_5,0.6143317073170732,0.9787751819528363
poker-8-9_vs_6,0.7308630136986303,0.9615358271503789
poker-8_vs_6,0.6050564061240935,0.9846660281267302
poker-9_vs_7,0.9226694915254237,0.7580044176631096
segment0,0.7191636806529349,0.907440559237448
shuttle-2_vs_5,0.5769132262638756,0.9395562782900989
shuttle-6_vs_2-3,0.9954545454545455,0.9344444444444444
shuttle-c0-vs-c4,0.6673791210362279,0.8575420079503544
shuttle-c2-vs-c4,0.9688346883468834,0.549074074074074
vehicle0,0.6080518512190007,0.806254309548451
