folder_name,LOF_auc,LOF_avgprecision
abalone-17_vs_7-8-9-10,0.8297867513611615,0.985864077391293
abalone-19_vs_10-11-12-13,0.6328223270440252,0.9840083446983438
abalone-20_vs_8-9-10,0.8927350427350427,0.992502589446319
abalone-21_vs_8,0.8982111363063744,0.9862845087522305
abalone-3_vs_11,0.9323750855578371,0.9829528818678221
abalone19,0.6459062650893288,0.9934483979039711
abalone9-18,0.8038565208376529,0.9650468632752673
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.6716346153846153,0.9439588124888565
dermatology-6,0.6187869822485207,0.9202854178320908
ecoli-0-1-3-7_vs_2-6,0.7950990615224192,0.978753748151263
ecoli-0-1-4-6_vs_5,0.72,0.9511098601931618
ecoli-0-1-4-7_vs_2-3-5-6,0.674379422666517,0.9037764098314576
ecoli-0-1-4-7_vs_5-6,0.6936807817589576,0.9472695713077228
ecoli-0-1_vs_2-3-5,0.7306818181818182,0.932989175416898
ecoli-0-1_vs_5,0.7534090909090909,0.9442535684923572
ecoli-0-2-3-4_vs_5,0.732967032967033,0.9325155650487063
ecoli-0-2-6-7_vs_3-5,0.6566156615661567,0.9256291342819254
ecoli-0-3-4-6_vs_5,0.7291891891891892,0.9335226185926118
ecoli-0-3-4-7_vs_5-6,0.6967241379310345,0.9311331309070192
ecoli-0-3-4_vs_5,0.745,0.932632926450384
ecoli-0-4-6_vs_5,0.735792349726776,0.9334089818609146
ecoli-0-6-7_vs_3-5,0.6604545454545454,0.9256365323144049
ecoli-0-6-7_vs_5,0.6295,0.928170306392727
ecoli-0_vs_1,0.5461810916356371,0.6639797322221039
ecoli1,0.5563856992428421,0.7832526384781364
ecoli2,0.5929035752979415,0.8182723892117014
ecoli3,0.5594684385382059,0.8540565662490776
ecoli4,0.7371835443037975,0.9600489305471066
flare-F,0.5911136875127873,0.9594164657203031
glass-0-1-2-3_vs_4-5-6,0.6006255262841333,0.7872857467666585
glass-0-1-4-6_vs_2,0.5071964956195244,0.898489199383962
glass-0-1-5_vs_2,0.5138519924098672,0.8852739945270108
glass-0-1-6_vs_2,0.5189915966386555,0.8959148733923276
glass-0-1-6_vs_5,0.8514285714285714,0.9691941123161799
glass-0-4_vs_5,0.8621151271753682,0.9377039601892901
glass-0-6_vs_5,0.8877665544332212,0.9484870094209342
glass0,0.6414682539682539,0.5596240777739634
glass1,0.5575896262395119,0.6617058660014025
glass2,0.5013436846819945,0.9040021218520449
glass4,0.8101798698813625,0.9615274021368175
glass5,0.829810298102981,0.9731488935055715
glass6,0.608574091332712,0.799441739383685
habermanImb,0.6734705075445816,0.8042099162322197
iris0,0.5226,0.6321153197377082
kr-vs-k-one_vs_fifteen,0.7266259440774676,0.8863700140053296
kr-vs-k-three_vs_eleven,0.6374332753683373,0.9798675876939003
kr-vs-k-zero-one_vs_draw,0.5834695823966211,0.944665073774456
kr-vs-k-zero_vs_eight,0.832881031764493,0.9890210452451969
kr-vs-k-zero_vs_fifteen,0.999504120926097,0.9935894478500311
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6054453468246572,0.9248456349148589
lymphography-normal-fibrosis,0.9847417840375587,0.9758894748035372
new-thyroid1,0.8069841269841269,0.8967089393553782
new-thyroid2,0.8069841269841269,0.8967089393553782
page-blocks-1-3_vs_4,0.6994047619047619,0.9593386601020673
page-blocks0,0.7225844178873398,0.921347477074516
pimaImb,0.5384477611940298,0.6801008426168129
poker-8-9_vs_5,0.8428097560975609,0.9930847751314215
poker-8-9_vs_6,0.743041095890411,0.9889541723279462
poker-8_vs_6,0.6219983883964544,0.9905719483458622
poker-9_vs_7,0.9126059322033898,0.9803883010078129
segment0,0.5914703167452783,0.8254238936891948
shuttle-2_vs_5,0.6675224727172779,0.9875959082649984
shuttle-6_vs_2-3,0.9995454545454545,0.9757660289384829
shuttle-c0-vs-c4,0.52520039268388,0.9132493609565919
shuttle-c2-vs-c4,0.967479674796748,0.9716174452106654
vehicle0,0.5668295107686812,0.7353739270451749
vehicle1,0.5571567772706292,0.6922682561302944
vehicle2,0.5559297025653013,0.7651991123172845
vehicle3,0.5648622105827034,0.7781258591725629
vowel0,0.829868844345459,0.9477581384205725
winequality-red-3_vs_5,0.578267254038179,0.9860789567847869
winequality-red-4,0.5075911054699895,0.9665545631289431
winequality-red-8_vs_6-7,0.5291384574538697,0.9767592328893876
winequality-red-8_vs_6,0.5358760013932428,0.9715395618414092
winequality-white-3-9_vs_5,0.7411667810569664,0.9890664468630278
winequality-white-3_vs_7,0.8085795454545455,0.9858062210046611
winequality-white-9_vs_4,0.7705521472392638,0.9776772143481857
wisconsinImb,0.6223943608880848,0.5532710104012697
yeast-0-2-5-6_vs_3-7-8-9,0.5845973547631007,0.9054458514079301
yeast-0-2-5-7-9_vs_3-6-8,0.5353088900050227,0.8927022353067329
yeast-0-3-5-9_vs_7-8,0.645219298245614,0.9275058584309734
yeast-0-5-6-7-9_vs_4,0.5939491100423397,0.9201375185674512
yeast-1-2-8-9_vs_7,0.6073427844420212,0.9651391127405508
yeast-1-4-5-8_vs_7,0.5229260935143288,0.9451475181724754
yeast-1_vs_7,0.6287490287490287,0.9366051390872788
yeast-2_vs_4,0.6767035107779613,0.9312049082318821
yeast-2_vs_8,0.780952380952381,0.97264652775189
yeast1,0.5445331919265568,0.7458938527009523
yeast3,0.5331710964458047,0.9020977278213652
yeast4,0.6171065774530329,0.9736502826231485
yeast5,0.505886994949495,0.9274940283620541
yeast6,0.5721778566499064,0.9680382254019481
