folder_name,CBLOF_auc,CBLOF_avgprecision
abalone-17_vs_7-8-9-10,0.7077661826981246,0.8884551060988647
abalone-19_vs_10-11-12-13,0.5355935534591194,0.9810162859112066
abalone-20_vs_8-9-10,0.760968660968661,0.9552328567200158
abalone-21_vs_8,0.8518518518518519,0.7104823121397332
abalone-3_vs_11,0.857221081451061,0.880472718025386
abalone19,0.6113366127474651,0.989670188051815
abalone9-18,0.6708825765429538,0.7935805607554564
car-good,0.5670912283460439,0.9606355676328502
car-vgood,0.6718858411582405,0.9434788803757395
cleveland-0_vs_4,0.58125,0.8688544935811926
dermatology-6,0.7544378698224852,0.9636376047509955
ecoli-0-1-3-7_vs_2-6,0.7007299270072993,0.9429468931293709
ecoli-0-1-4-6_vs_5,0.5928846153846155,0.8936576421777471
ecoli-0-1-4-7_vs_2-3-5-6,0.7291924070538021,0.7683519567349905
ecoli-0-1-4-7_vs_5-6,0.710358306188925,0.8269324205919782
ecoli-0-1_vs_2-3-5,0.6242424242424242,0.8379096753682973
ecoli-0-1_vs_5,0.6038636363636364,0.8778533568085553
ecoli-0-2-3-4_vs_5,0.6620879120879122,0.8254403396582629
ecoli-0-2-6-7_vs_3-5,0.6305130513051306,0.8027711307886045
ecoli-0-3-4-6_vs_5,0.6562162162162163,0.8450979721620568
ecoli-0-3-4-7_vs_5-6,0.6586206896551724,0.7835742418349775
ecoli-0-3-4_vs_5,0.6502777777777777,0.828526053286047
ecoli-0-4-6_vs_5,0.6740437158469945,0.810595611894589
ecoli-0-6-7_vs_3-5,0.5911363636363637,0.8156887556391748
ecoli-0-6-7_vs_5,0.592,0.8640966812346076
ecoli-0_vs_1,0.6235582599218963,0.5661192584694917
ecoli1,0.5263500977786693,0.7495274929692445
ecoli2,0.5577600216684724,0.8301293964188002
ecoli3,0.5107736117702895,0.8925773514140337
ecoli4,0.549367088607595,0.9271782016899954
flare-F,0.7925049444179225,0.8777112616903313
glass-0-1-2-3_vs_4-5-6,0.7973054252375796,0.5253596315951129
glass-0-1-4-6_vs_2,0.5566332916145181,0.9252117339579276
glass-0-1-5_vs_2,0.5100569259962049,0.9030832879038737
glass-0-1-6_vs_2,0.5774789915966386,0.922902824993018
glass-0-1-6_vs_5,0.8069841269841269,0.8478504537536661
glass-0-4_vs_5,0.7657295850066934,0.7375262748946959
glass-0-6_vs_5,0.8159371492704826,0.630278379028379
glass0,0.7120039682539683,0.7670661577424623
glass1,0.5039092295957285,0.6288217282580357
glass2,0.5897282770976411,0.9331298824753439
glass4,0.819364714887103,0.6370632022904705
glass5,0.7913279132791328,0.8805355738523785
glass6,0.7047530288909599,0.7773717177057082
habermanImb,0.6178600823045268,0.6147474921623557
iris0,0.7632,0.7741173067423852
kr-vs-k-one_vs_fifteen,0.929877832232403,0.7177085411147373
