folder_name,LSCP_auc,LSCP_avgprecision
abalone-17_vs_7-8-9-10,0.8297867513611615,0.9107572470555683
abalone-19_vs_10-11-12-13,0.6328223270440252,0.9645436823840218
abalone-20_vs_8-9-10,0.8927350427350428,0.907349890837571
abalone-21_vs_8,0.8982111363063744,0.7293992052456535
abalone-3_vs_11,0.932375085557837,0.8206651447433815
abalone19,0.6459062650893289,0.9870572423278867
abalone9-18,0.8038565208376529,0.7022594220305486
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.6716346153846153,0.8605499266288306
dermatology-6,0.6187869822485207,0.9550339159103765
ecoli-0-1-3-7_vs_2-6,0.7950990615224193,0.80676763712478
ecoli-0-1-4-6_vs_5,0.72,0.8682891328422551
ecoli-0-1-4-7_vs_2-3-5-6,0.674379422666517,0.8440733161980883
ecoli-0-1-4-7_vs_5-6,0.6936807817589576,0.8563942556702503
ecoli-0-1_vs_2-3-5,0.7306818181818182,0.8096433712235563
ecoli-0-1_vs_5,0.7534090909090909,0.8425218023823792
ecoli-0-2-3-4_vs_5,0.732967032967033,0.786280334330282
ecoli-0-2-6-7_vs_3-5,0.6566156615661566,0.7740844466665289
ecoli-0-3-4-6_vs_5,0.7291891891891892,0.7868998948182939
ecoli-0-3-4-7_vs_5-6,0.6967241379310346,0.8014444522273754
ecoli-0-3-4_vs_5,0.745,0.7775272705117556
ecoli-0-4-6_vs_5,0.735792349726776,0.7777109722543427
ecoli-0-6-7_vs_3-5,0.6604545454545454,0.7704049022675135
ecoli-0-6-7_vs_5,0.6295,0.8334575525095066
ecoli-0_vs_1,0.5461810916356371,0.5956711711196205
ecoli1,0.5563856992428421,0.7055463215977094
ecoli2,0.5929035752979415,0.8745005291339198
ecoli3,0.5594684385382059,0.901055404915917
ecoli4,0.7371835443037974,0.8893518306628171
flare-F,0.5911250539907704,0.9506850637443354
glass-0-1-2-3_vs_4-5-6,0.6006255262841333,0.52714173971222
glass-0-1-4-6_vs_2,0.5071964956195243,0.9123882817656628
glass-0-1-5_vs_2,0.5138519924098672,0.9026817683633933
glass-0-1-6_vs_2,0.5189915966386555,0.904818009796453
glass-0-1-6_vs_5,0.8514285714285714,0.80250334000334
glass-0-4_vs_5,0.8621151271753682,0.6936017238436594
glass-0-6_vs_5,0.8877665544332211,0.6796739323055112
glass0,0.6414682539682539,0.7493890990427055
glass1,0.5575896262395118,0.6230786855477851
glass2,0.5013436846819946,0.9172081541652278
glass4,0.8101798698813625,0.6417962898479461
glass5,0.829810298102981,0.8492189176011353
glass6,0.608574091332712,0.8262691494789893
habermanImb,0.6734705075445816,0.6042225298220327
iris0,0.5226,0.6389478412384864
kr-vs-k-one_vs_fifteen,0.7266259440774676,0.6127853421490035
kr-vs-k-three_vs_eleven,0.6374332753683372,0.9548967823463624
kr-vs-k-zero-one_vs_draw,0.5834695823966211,0.7037360626308404
kr-vs-k-zero_vs_eight,0.832881031764493,0.9466873878744544
kr-vs-k-zero_vs_fifteen,0.9995041209260969,0.9574486933898891
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6054453468246571,0.7045151381073451
lymphography-normal-fibrosis,0.9847417840375587,0.7711640211640212
new-thyroid1,0.8069841269841269,0.6840673099682589
new-thyroid2,0.8069841269841269,0.6840673099682589
page-blocks-1-3_vs_4,0.6994047619047619,0.8747384523345794
page-blocks0,0.7225844178873398,0.6395154655577044
pimaImb,0.5384477611940299,0.6313076990778862
poker-8-9_vs_5,0.8428097560975609,0.8412386836399602
poker-8-9_vs_6,0.743041095890411,0.6426613884535788
poker-8_vs_6,0.6219983883964545,0.9782644414594511
poker-9_vs_7,0.9126059322033897,0.6084198638265113
segment0,0.5914703167452783,0.8891421579272787
shuttle-2_vs_5,0.6675224727172779,0.927063288095151
shuttle-6_vs_2-3,0.9995454545454546,0.9909090909090909
shuttle-c0-vs-c4,0.52520039268388,0.8708704056915142
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5668295107686812,0.7756839808548734
vehicle1,0.5571567772706293,0.7736329638335699
vehicle2,0.5559297025653013,0.6922786189913498
vehicle3,0.5648622105827034,0.7132036938704893
vowel0,0.8298688443454592,0.5823157495166258
winequality-red-3_vs_5,0.5782672540381791,0.9785404519659611
winequality-red-4,0.5075911054699895,0.9651047475512823
winequality-red-8_vs_6,0.5358760013932428,0.9630456537142326
winequality-red-8_vs_6-7,0.5291384574538697,0.9725518677654786
winequality-white-3-9_vs_5,0.7411667810569664,0.7973192187790562
winequality-white-3_vs_7,0.8085795454545455,0.550877072975176
winequality-white-9_vs_4,0.7705521472392638,0.9109227884702268
wisconsinImb,0.6223943608880848,0.7264883922996415
yeast-0-2-5-6_vs_3-7-8-9,0.5845973547631006,0.8003606753121338
yeast-0-2-5-7-9_vs_3-6-8,0.5353088900050226,0.8514386441763667
yeast-0-3-5-9_vs_7-8,0.6452192982456141,0.7913207431129176
yeast-0-5-6-7-9_vs_4,0.5939491100423397,0.8614177095311351
yeast-1-2-8-9_vs_7,0.607342784442021,0.9355038367088454
yeast-1-4-5-8_vs_7,0.5229260935143287,0.9579784656715772
yeast-1_vs_7,0.6287490287490287,0.8771483777962157
yeast-2_vs_4,0.6767035107779613,0.8355506391789858
yeast-2_vs_8,0.7809523809523811,0.6141681967256316
yeast1,0.5445331919265569,0.6971983148699581
yeast3,0.5331710964458047,0.8871180838241111
yeast4,0.6171065774530328,0.9449229310971414
yeast5,0.505886994949495,0.9658270855206151
yeast6,0.5721778566499063,0.9803095919073027
zoo-3,0.5135416666666667,0.8800752640190391
