folder_name,MAX_Bagging_auc,MAX_Bagging_avgprecision
abalone-17_vs_7-8-9-10,0.7790494555353902,0.9324391313945939
abalone-19_vs_10-11-12-13,0.6463246855345912,0.9682966666598954
abalone-20_vs_8-9-10,0.8349206349206348,0.9383694813070145
abalone-21_vs_8,0.8851095993953136,0.7930398677468489
abalone-3_vs_11,0.9507186858316221,0.7589714887049487
abalone19,0.6112347597778851,0.9894858415633394
abalone9-18,0.7950100214251158,0.7225081154631614
car-good,0.5949891238829048,0.9431081385960106
car-vgood,0.6327767241778066,0.9711078258517176
cleveland-0_vs_4,0.7014423076923078,0.8578160559852109
dermatology-6,0.8738165680473372,0.7944276027196202
ecoli-0-1-3-7_vs_2-6,0.8336809176225235,0.6456592105109625
ecoli-0-1-4-6_vs_5,0.725576923076923,0.8810364145962889
ecoli-0-1-4-7_vs_2-3-5-6,0.7175109513647085,0.6420455811790934
ecoli-0-1-4-7_vs_5-6,0.7248208469055375,0.6807289285806297
ecoli-0-1_vs_2-3-5,0.7825757575757576,0.7324326191255937
ecoli-0-1_vs_5,0.7813636363636363,0.8319728306772288
ecoli-0-2-3-4_vs_5,0.807967032967033,0.7674490871065411
ecoli-0-2-6-7_vs_3-5,0.666066606660666,0.8370958964600536
ecoli-0-3-4-6_vs_5,0.7862162162162162,0.7985197081762396
ecoli-0-3-4-7_vs_5-6,0.6960344827586208,0.6670882127967109
ecoli-0-3-4_vs_5,0.8111111111111111,0.7636036936700163
ecoli-0-4-6_vs_5,0.7620218579234972,0.8002509063168002
ecoli-0-6-7_vs_3-5,0.6597727272727273,0.8359115253758811
ecoli-0-6-7_vs_5,0.7006249999999999,0.8387042402077907
ecoli-0_vs_1,0.6047588774861502,0.5696808516575398
ecoli1,0.5961490247204534,0.6949408716568206
ecoli2,0.5835590465872156,0.8739560831486148
ecoli3,0.5122923588039867,0.888658305687982
ecoli4,0.7012658227848102,0.9001612359082664
flare-F,0.6202800700175044,0.9435168616073473
glass-0-1-2-3_vs_4-5-6,0.593528208829544,0.5654340370513087
glass-0-1-4-6_vs_2,0.5209637046307884,0.9127149071257158
glass-0-1-5_vs_2,0.5062618595825428,0.8984800496953274
glass-0-1-6_vs_2,0.5435294117647058,0.9011690351151781
glass-0-1-6_vs_5,0.7987301587301587,0.8635961206313288
glass-0-4_vs_5,0.8674698795180723,0.6951338031037152
glass-0-6_vs_5,0.877665544332211,0.6923431452843217
glass0,0.6470238095238094,0.7504867261202753
glass1,0.5627383676582761,0.6081871800759182
glass2,0.5010450880859958,0.9199844114917547
glass4,0.8205128205128205,0.7319312423805471
glass5,0.7869918699186992,0.8822174053740588
glass6,0.609878844361603,0.8146925599499144
habermanImb,0.6146776406035666,0.6756458658883163
iris0,0.574,0.559680495584806
kr-vs-k-one_vs_fifteen,0.5709301086724909,0.9331107735257946
kr-vs-k-three_vs_eleven,0.6100015572685509,0.962354494735176
kr-vs-k-zero-one_vs_draw,0.6581545064377683,0.843065388981832
kr-vs-k-zero_vs_eight,0.6024269209893773,0.9700503350172516
kr-vs-k-zero_vs_fifteen,0.5606169419650491,0.9364551281904681
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5819797630142458,0.7434332191750594
lymphography-normal-fibrosis,0.9929577464788732,0.8551587301587301
new-thyroid1,0.7542857142857142,0.7361581274354378
new-thyroid2,0.7542857142857142,0.7361581274354378
page-blocks-1-3_vs_4,0.6382722007722008,0.9011648557473979
page-blocks0,0.6806450121196476,0.7903126783482645
pimaImb,0.5100783582089552,0.6437684582306884
poker-8-9_vs_5,0.7675024390243903,0.9685795849566201
poker-8-9_vs_6,0.7507123287671232,0.560097864312733
poker-8_vs_6,0.6206285253827559,0.9298563617259137
poker-9_vs_7,0.8559322033898306,0.6759440629603168
segment0,0.6536014166990483,0.8991240914119858
