folder_name,VAR_LMDD_std_auc,VAR_LMDD_std_avgprecision
abalone-17_vs_7-8-9-10,0.5313369630973986,0.9416060848648656
abalone-19_vs_10-11-12-13,0.5652908805031446,0.9805220190750932
abalone-20_vs_8-9-10,0.5186406186406187,0.9849348155955158
abalone-21_vs_8,0.7481733434114388,0.7454327920393261
abalone-3_vs_11,1.0,1.0
abalone19,0.5457282110091743,0.9930327239980684
abalone9-18,0.6177344667910706,0.9237466841065868
car-good,0.5693669138908544,0.9462376810839497
car-vgood,0.6423377584532125,0.9348001371339454
cleveland-0_vs_4,0.8348557692307692,0.6028994028549386
dermatology-6,0.8223372781065088,0.5150018796388356
ecoli-0-1-3-7_vs_2-6,0.8717413972888426,0.6482501865191239
ecoli-0-1-4-6_vs_5,0.6846153846153846,0.849874823720321
ecoli-0-1-4-7_vs_2-3-5-6,0.7245310569470964,0.638806853160638
ecoli-0-1-4-7_vs_5-6,0.775700325732899,0.6509779861324736
ecoli-0-1_vs_2-3-5,0.6990530303030302,0.620364635743734
ecoli-0-1_vs_5,0.6469318181818181,0.8039661006419097
ecoli-0-2-3-4_vs_5,0.6475274725274724,0.8296663049100134
ecoli-0-2-6-7_vs_3-5,0.5828082808280828,0.771518759018759
ecoli-0-3-4-6_vs_5,0.621891891891892,0.8677895871487715
ecoli-0-3-4-7_vs_5-6,0.6698275862068965,0.6567662379897568
ecoli-0-3-4_vs_5,0.5629166666666666,0.8684398118221648
ecoli-0-4-6_vs_5,0.6459016393442624,0.8287182724040842
ecoli-0-6-7_vs_3-5,0.7461363636363636,0.6385870337955216
ecoli-0-6-7_vs_5,0.6095,0.8262784650448948
ecoli-0_vs_1,0.8858414312959767,0.6267009643527862
ecoli1,0.5799277942135084,0.7453246240873528
ecoli2,0.6594664138678223,0.8599915476206192
ecoli3,0.6364499288087329,0.842265426662277
ecoli4,0.8056962025316455,0.7811806270541395
flare-F,0.68155675282457,0.8664127921492016
glass-0-1-2-3_vs_4-5-6,0.6379165162997715,0.6180463212332021
glass-0-1-4-6_vs_2,0.5438047559449312,0.918855244279997
glass-0-1-5_vs_2,0.5580645161290323,0.9011627906976745
glass-0-1-6_vs_2,0.5771428571428572,0.9114583333333334
glass-0-1-6_vs_5,0.5473015873015873,0.8407444005270093
glass-0-4_vs_5,0.607764390896921,0.8514492753623188
glass-0-6_vs_5,0.6369248035914702,0.7770969498910676
glass0,0.6496527777777779,0.6770774826205055
glass1,0.5201659038901603,0.6146781059802957
glass2,0.6022693341295909,0.9249919147064269
glass4,0.5973976272483735,0.8271188662797765
glass5,0.5409214092140922,0.9467438065568907
glass6,0.829170549860205,0.6489497459618422
habermanImb,0.5525102880658436,0.6624105989646872
iris0,0.9442,0.8551402234436973
kr-vs-k-one_vs_fifteen,0.9539680848545115,0.8761541625795018
kr-vs-k-three_vs_eleven,0.8134240874838865,0.8909717540572899
kr-vs-k-zero-one_vs_draw,0.6181415627767559,0.9435003774566622
kr-vs-k-zero_vs_eight,0.5620299294409553,0.9752437126151297
kr-vs-k-zero_vs_fifteen,0.9783095653363427,0.6816309191038088
led7digit-0-2-4-5-6-7-8-9_vs_1,0.8702902409798962,0.5799111374921533
lymphography-normal-fibrosis,0.8843896713615025,0.7197197197197197
new-thyroid1,0.6701587301587303,0.7199444002100248
new-thyroid2,0.6398412698412698,0.7299719180864517
page-blocks-1-3_vs_4,0.7176238738738739,0.7195618688046683
page-blocks0,0.5846376321882691,0.7601571634005347
pimaImb,0.5518582089552239,0.6184648782225798
poker-8-9_vs_5,0.5717073170731707,0.9291740290579145
poker-8-9_vs_6,0.6048219178082191,0.9677781268965399
poker-8_vs_6,0.5090652699435938,0.986513442505079
poker-9_vs_7,0.8072033898305084,0.683149378280181
segment0,0.5843491923556001,0.8582035065914699
shuttle-2_vs_5,0.8708982215475721,0.6796325982620992
shuttle-6_vs_2-3,0.8522727272727273,0.6469689902012556
shuttle-c0-vs-c4,0.9988467293817135,0.9459155977955886
shuttle-c2-vs-c4,0.728319783197832,0.7969822812846069
vehicle0,0.6220592918223264,0.7975684687053344
vehicle1,0.577612038712608,0.7091369873919618
vehicle2,0.56110486180097,0.749805628162761
vehicle3,0.5987143622403428,0.7038993342790956
vowel0,0.898057411531799,0.5812185354362521
winequality-red-3_vs_5,0.7186490455212922,0.9660507384776281
winequality-red-4,0.5227611120603383,0.9422461444306834
winequality-red-8_vs_6,0.6268721699756182,0.9515740327433994
winequality-red-8_vs_6-7,0.5904022301871764,0.968529614128039
winequality-white-3-9_vs_5,0.788359643102265,0.8532219228389974
winequality-white-3_vs_7,0.7784659090909091,0.5712795074244577
winequality-white-9_vs_4,0.5693251533742332,0.9717460317460318
wisconsinImb,0.590302122205888,0.5427700169374565
yeast-0-2-5-6_vs_3-7-8-9,0.7713042022434287,0.6578582788939502
yeast-0-2-5-7-9_vs_3-6-8,0.8177353646966907,0.7075187169825031
yeast-0-3-5-9_vs_7-8,0.5764473684210526,0.8295717507269487
yeast-0-5-6-7-9_vs_4,0.5938668968635672,0.8690361459851091
yeast-1-2-8-9_vs_7,0.6048709560159942,0.9567684328947179
yeast-1-4-5-8_vs_7,0.5382604323780794,0.9549113271492283
yeast-1_vs_7,0.6577311577311578,0.8669558402058277
yeast-2_vs_4,0.6442637530174056,0.8260285990626821
yeast-2_vs_8,0.8096320346320347,0.7265391592820504
yeast1,0.516817463736895,0.7157905806587397
yeast3,0.5549848367336514,0.8952802596035372
yeast4,0.6079389187635976,0.9285719555390732
yeast5,0.8099905303030303,0.9090156455016227
