folder_name,SOD_std_auc,SOD_std_avgprecision
abalone-17_vs_7-8-9-10,0.7389519056261344,0.8929019593405452
abalone-19_vs_10-11-12-13,0.6047955974842767,0.9735280934210011
abalone-20_vs_8-9-10,0.7155881155881156,0.9303564741651833
abalone-21_vs_8,0.9003527336860669,0.7234730381892236
abalone-3_vs_11,0.8406570841889117,0.9816356546802183
abalone19,0.6239097959922743,0.9855064970273746
abalone9-18,0.7412053355449582,0.7686487368631449
car-good,0.5278498484332277,0.9546368672794635
car-vgood,0.5121282205467413,0.9624124255374256
cleveland-0_vs_4,0.8014423076923076,0.6385031179465213
dermatology-6,0.5153846153846153,0.9413132408505409
ecoli-0-1-3-7_vs_2-6,0.8211678832116789,0.9172909767934775
ecoli-0-1-4-6_vs_5,0.6984615384615385,0.8507019845720543
ecoli-0-1-4-7_vs_2-3-5-6,0.7125687970347073,0.7891841897447408
ecoli-0-1-4-7_vs_5-6,0.6697068403908795,0.8839397678634897
ecoli-0-1_vs_2-3-5,0.7297348484848485,0.7194821578321824
ecoli-0-1_vs_5,0.6638636363636364,0.7981183117719676
ecoli-0-2-3-4_vs_5,0.7335164835164836,0.7899865865489678
ecoli-0-2-6-7_vs_3-5,0.7129837983798382,0.6617182590187753
ecoli-0-3-4-6_vs_5,0.7627027027027027,0.790134673198641
ecoli-0-3-4-7_vs_5-6,0.7157758620689655,0.8150691482697331
ecoli-0-3-4_vs_5,0.768611111111111,0.7682023010767631
ecoli-0-4-6_vs_5,0.7934426229508197,0.7505276216691026
ecoli-0-6-7_vs_3-5,0.7990909090909091,0.6062678703878515
ecoli-0-6-7_vs_5,0.736875,0.6934711385662347
ecoli-0_vs_1,0.6360003632730906,0.547909954218995
ecoli1,0.5190543047685905,0.71328675215565
ecoli2,0.5727925243770313,0.8303649545565358
ecoli3,0.5676317038443284,0.9041611443433601
ecoli4,0.6929588607594936,0.8234467005432723
flare-F,0.7975971265543659,0.8445586646424585
glass-0-1-2-3_vs_4-5-6,0.8013954047876819,0.5206060859337914
glass-0-1-4-6_vs_2,0.5810387984981227,0.9291604786424649
glass-0-1-5_vs_2,0.5787476280834914,0.8720494302688422
glass-0-1-6_vs_2,0.5132773109243698,0.9092087529333102
glass-0-1-6_vs_5,0.726984126984127,0.858416845384544
glass-0-4_vs_5,0.7536813922356091,0.7762289913716274
glass-0-6_vs_5,0.8821548821548821,0.679006586825046
glass0,0.6676587301587301,0.7569879718275077
glass1,0.5225019069412662,0.6372708633893103
glass2,0.5607644072857569,0.9272818868524144
glass4,0.8189820130118638,0.759374964386762
glass5,0.7636856368563686,0.8978206141899547
glass6,0.7343895619757688,0.7155659829841166
habermanImb,0.6244718792866941,0.596855008087973
iris0,0.6554,0.74203921749926
kr-vs-k-one_vs_fifteen,0.5561178587494378,0.9528521041250024
kr-vs-k-three_vs_eleven,0.6127289401057212,0.944786140798686
kr-vs-k-zero-one_vs_draw,0.8534828666802914,0.6140556989202107
kr-vs-k-zero_vs_eight,0.5073272854152129,0.9568814697335074
kr-vs-k-zero_vs_fifteen,0.500607024383571,0.9296785005592845
led7digit-0-2-4-5-6-7-8-9_vs_1,0.6423578751164958,0.868385149021053
lymphography-normal-fibrosis,0.9753521126760564,0.5127946127946128
new-thyroid1,0.6244444444444445,0.8306637831047141
new-thyroid2,0.6568253968253969,0.8551006240121607
page-blocks-1-3_vs_4,0.8663127413127414,0.6309364111411913
page-blocks0,0.6135756801621923,0.7235953101065665
pimaImb,0.5725970149253732,0.5581574904319144
poker-8-9_vs_5,0.6070439024390244,0.9572631665593799
poker-8-9_vs_6,0.6766027397260274,0.9322961107988271
poker-8_vs_6,0.7419822723609991,0.9753628256232909
poker-9_vs_7,0.6647245762711864,0.800307895496196
segment0,0.7044468438359615,0.9040718933881413
shuttle-2_vs_5,0.9722518943298164,0.7630078051796164
shuttle-6_vs_2-3,0.9745454545454545,0.5492592392592393
shuttle-c0-vs-c4,0.721018118739218,0.8303968115147504
shuttle-c2-vs-c4,0.9742547425474255,0.5066137566137566
vehicle0,0.5394515079260289,0.7611363898286804
vehicle1,0.5209937505952686,0.7452553710512343
vehicle2,0.5784199146847426,0.7449023197420265
vehicle3,0.5791545146122254,0.7255860308902302
vowel0,0.5950754763672359,0.822741652373127
winequality-red-3_vs_5,0.7180616740088106,0.9554705041565108
winequality-red-4,0.6309404671825039,0.923338508430698
winequality-red-8_vs_6-7,0.5656444975441391,0.9708789143484777
winequality-red-8_vs_6,0.5997039359108325,0.9487497160394172
winequality-white-3-9_vs_5,0.7439121482498283,0.8722195961982706
winequality-white-3_vs_7,0.8927272727272727,0.529052790052345
winequality-white-9_vs_4,0.5312883435582823,0.9684329616467984
wisconsinImb,0.9376342870066718,0.849083541207301
yeast-0-2-5-6_vs_3-7-8-9,0.6084714548802947,0.8065431829415581
yeast-0-2-5-7-9_vs_3-6-8,0.6023103967855349,0.8294110085346436
yeast-0-3-5-9_vs_7-8,0.5822149122807017,0.8562038130535272
yeast-0-5-6-7-9_vs_4,0.5738274345377565,0.8385266077306588
yeast-1-2-8-9_vs_7,0.5373318793166122,0.9593720903680523
