folder_name,AVE_Bagging_std_auc,AVE_Bagging_std_avgprecision
abalone-17_vs_7-8-9-10,0.8023593466424682,0.9278097300641458
abalone-19_vs_10-11-12-13,0.6087460691823898,0.9707259250022083
abalone-20_vs_8-9-10,0.8446275946275946,0.9405874045588337
abalone-21_vs_8,0.8841017888636936,0.7873846273564782
abalone-3_vs_11,0.8071184120465436,0.9280915047714742
abalone19,0.6145129164654757,0.9892499735902502
abalone9-18,0.8063445987974289,0.7841470145080889
car-good,0.5851656751491645,0.9471379029243892
car-vgood,0.6524353577871317,0.973121997655445
cleveland-0_vs_4,0.7625,0.7472040774683179
dermatology-6,0.7628698224852071,0.8884254217176737
ecoli-0-1-3-7_vs_2-6,0.8248175182481752,0.5237269924320285
ecoli-0-1-4-6_vs_5,0.7625,0.8627860525224039
ecoli-0-1-4-7_vs_2-3-5-6,0.7436819049758507,0.6164449626582436
ecoli-0-1-4-7_vs_5-6,0.7657328990228014,0.6753278976930441
ecoli-0-1_vs_2-3-5,0.7653409090909092,0.7036563309441561
ecoli-0-1_vs_5,0.7665909090909091,0.7981372435940622
ecoli-0-2-3-4_vs_5,0.7782967032967033,0.8015788844451264
ecoli-0-2-6-7_vs_3-5,0.7205220522052206,0.7412729385578574
ecoli-0-3-4-6_vs_5,0.7454054054054055,0.8225419260387655
ecoli-0-3-4-7_vs_5-6,0.7367241379310345,0.7099861471602127
ecoli-0-3-4_vs_5,0.7780555555555555,0.7919164470660396
ecoli-0-4-6_vs_5,0.7762295081967213,0.7927380405182233
ecoli-0-6-7_vs_3-5,0.7256818181818183,0.7378596168425867
ecoli-0-6-7_vs_5,0.71725,0.8239913997239341
ecoli-0_vs_1,0.612296794114976,0.5729492258078168
ecoli1,0.5819585819585817,0.709721315297739
ecoli2,0.5994718309859155,0.8770154604335938
ecoli3,0.5158044613194115,0.8892934521248984
ecoli4,0.7093354430379747,0.8997567893672384
flare-F,0.5511036850121621,0.9504639200384246
glass-0-1-2-3_vs_4-5-6,0.653915553951642,0.5053608999067133
glass-0-1-4-6_vs_2,0.5021902377972465,0.9148590656971691
glass-0-1-5_vs_2,0.5328273244781783,0.9046458378629009
glass-0-1-6_vs_2,0.5203361344537816,0.9030490285224342
glass-0-1-6_vs_5,0.7968253968253968,0.8496045929345849
glass-0-4_vs_5,0.8433734939759037,0.693346266334772
glass-0-6_vs_5,0.8484848484848485,0.7421720255053588
glass0,0.6614087301587301,0.7554208798957491
glass1,0.5334668192219679,0.6329340648810762
glass2,0.514481934905942,0.918850327101444
glass4,0.9031764255644852,0.5644190092100819
glass5,0.781029810298103,0.874878499527854
glass6,0.5545200372786581,0.8347981548572299
habermanImb,0.6396159122085048,0.6370171657575909
iris0,0.5084,0.6120323714331867
kr-vs-k-one_vs_fifteen,0.7133437507398726,0.9402047878693016
kr-vs-k-three_vs_eleven,0.7209115211918296,0.9471523964820008
kr-vs-k-zero-one_vs_draw,0.7173649431160161,0.8359036722081525
kr-vs-k-zero_vs_eight,0.5223695433046445,0.9809166029342814
kr-vs-k-zero_vs_fifteen,0.7090044800109435,0.9706688433915411
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5802822526960458,0.7818950195219163
lymphography-normal-fibrosis,0.9847417840375586,0.7973544973544974
new-thyroid1,0.8298412698412698,0.6544203123652736
new-thyroid2,0.8298412698412698,0.6544203123652736
page-blocks-1-3_vs_4,0.7955276705276706,0.8688160773581195
page-blocks0,0.7631305284399355,0.632553837315012
pimaImb,0.612910447761194,0.5713923006046987
poker-8-9_vs_5,0.7399024390243902,0.8882289561512693
poker-8-9_vs_6,0.770027397260274,0.7502647870247621
poker-8_vs_6,0.6788477034649476,0.972641457476793
poker-9_vs_7,0.9692796610169491,0.7434269162210339
segment0,0.6268355729076274,0.891248153446726
shuttle-2_vs_5,0.6178544879843582,0.9868363744961832
shuttle-6_vs_2-3,0.9818181818181818,0.5327084027084027
shuttle-c0-vs-c4,0.5803000409839971,0.9419206085236456
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5289352481107237,0.7532018859869104
vehicle1,0.5313679089770171,0.7597315218169323
vehicle2,0.5025492315783322,0.7261048662130154
vehicle3,0.562168918516755,0.7286239595798506
vowel0,0.8212571145756001,0.5949066134144188
winequality-red-3_vs_5,0.8270190895741556,0.8567485516207518
winequality-red-4,0.640630720788889,0.9444889637862246
winequality-red-8_vs_6-7,0.5129430505774593,0.9730767824292925
winequality-red-8_vs_6,0.5723615464994775,0.956479681742034
winequality-white-3-9_vs_5,0.808538091969801,0.8086975664239586
winequality-white-3_vs_7,0.8930681818181818,0.520926936901218
winequality-white-9_vs_4,0.7067484662576686,0.9399966251560865
wisconsinImb,0.6580911455388443,0.7334431153822956
yeast-0-2-5-6_vs_3-7-8-9,0.612891344383057,0.7842733244255007
yeast-0-2-5-7-9_vs_3-6-8,0.6040738880517886,0.8363877642802433
yeast-0-3-5-9_vs_7-8,0.6055701754385966,0.8210652620045962
yeast-0-5-6-7-9_vs_4,0.6052945287129525,0.8654712946537053
yeast-1-2-8-9_vs_7,0.6223918575063613,0.9346551870444588
yeast-1-4-5-8_vs_7,0.5031171442936149,0.9537773801779111
yeast-1_vs_7,0.6154623154623154,0.8822877170456489
yeast-2_vs_4,0.7554313301994664,0.777979604177286
yeast-2_vs_8,0.7927489177489178,0.7186246227817686
yeast1,0.5169456136280781,0.7113004659658847
yeast3,0.5248672923932882,0.8985404133779304
yeast4,0.615806685549307,0.9439511578620461
yeast5,0.5895044191919192,0.9605837336054796
