folder_name,LOF_std_auc,LOF_std_avgprecision
abalone-17_vs_7-8-9-10,0.8179522081064731,0.9856224052591968
abalone-19_vs_10-11-12-13,0.6051100628930817,0.9837766775648972
abalone-20_vs_8-9-10,0.8545380545380545,0.992284678779525
abalone-21_vs_8,0.8785588309397833,0.9860957636007011
abalone-3_vs_11,0.8287474332648871,0.9813359154541247
abalone19,0.6274671052631579,0.9935208784773634
abalone9-18,0.7967032967032968,0.9652688367929904
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.7711538461538462,0.9505216111107977
dermatology-6,0.6226331360946745,0.9555563249821666
ecoli-0-1-3-7_vs_2-6,0.8143899895724713,0.9812484366053955
ecoli-0-1-4-6_vs_5,0.6642307692307692,0.9474448146397638
ecoli-0-1-4-7_vs_2-3-5-6,0.6965067954622037,0.9053690042054898
ecoli-0-1-4-7_vs_5-6,0.7095765472312704,0.9484903964272722
ecoli-0-1_vs_2-3-5,0.6839015151515152,0.9298991064229368
ecoli-0-1_vs_5,0.6777272727272727,0.939231077907823
ecoli-0-2-3-4_vs_5,0.7151098901098901,0.9311101787091846
ecoli-0-2-6-7_vs_3-5,0.6833933393339333,0.9301691624924313
ecoli-0-3-4-6_vs_5,0.7324324324324325,0.9326740615774001
ecoli-0-3-4-7_vs_5-6,0.7150000000000001,0.933385377594789
ecoli-0-3-4_vs_5,0.7438888888888888,0.9323814623901555
ecoli-0-4-6_vs_5,0.73224043715847,0.932403817113937
ecoli-0-6-7_vs_3-5,0.6931818181818181,0.9304791544722957
ecoli-0-6-7_vs_5,0.659,0.9328454344115917
ecoli-0_vs_1,0.5652529288892926,0.6868617948003246
ecoli1,0.5697237125808554,0.7856327248783016
ecoli2,0.5983884073672806,0.8152410479499205
ecoli3,0.535548172757475,0.8774379984990555
ecoli4,0.7365506329113924,0.9599074355100313
flare-F,0.5173225124462935,0.9317861117223198
glass-0-1-2-3_vs_4-5-6,0.6441717791411044,0.8001969591363534
glass-0-1-4-6_vs_2,0.5516270337922403,0.8247606460677108
glass-0-1-5_vs_2,0.613662239089184,0.7724175647017979
glass-0-1-6_vs_2,0.5458823529411765,0.8257498592862389
glass-0-1-6_vs_5,0.7676190476190476,0.9666863020080918
glass-0-4_vs_5,0.8313253012048193,0.9358404401999588
glass-0-6_vs_5,0.8372615039281706,0.9461181489297402
glass0,0.6659722222222222,0.5613690794029852
glass1,0.561022120518688,0.6624609208690371
glass2,0.5013436846819946,0.8847068757737401
glass4,0.8970531955606582,0.9644719401885558
glass5,0.7907859078590787,0.9721487642425379
glass6,0.5699906803355079,0.8187115702282912
habermanImb,0.6594238683127571,0.7970905627292783
iris0,0.5251999999999999,0.5961948436195166
kr-vs-k-one_vs_fifteen,0.5143120960295475,0.870305391994272
kr-vs-k-three_vs_eleven,0.8231548530544093,0.9843836661099907
kr-vs-k-zero-one_vs_draw,0.6697833639893727,0.9728047030045912
kr-vs-k-zero_vs_eight,0.7175829004161174,0.9877248573084771
kr-vs-k-zero_vs_fifteen,1.0,0.9935906654420418
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5941618958860339,0.925608856782908
lymphography-normal-fibrosis,0.9788732394366197,0.9758508876633164
new-thyroid1,0.8493650793650793,0.8999151388779099
new-thyroid2,0.8493650793650793,0.8999151388779099
page-blocks-1-3_vs_4,0.7894144144144144,0.9629454400811557
page-blocks0,0.7247807740189129,0.912739091577878
pimaImb,0.6013880597014926,0.7111252276306677
poker-8-9_vs_5,0.7453268292682926,0.9872635256598827
poker-8-9_vs_6,0.7398082191780821,0.9878011839308315
poker-8_vs_6,0.6219178082191781,0.9888698899501451
poker-9_vs_7,0.9740466101694916,0.9811876841783007
segment0,0.6150445943808163,0.810975453733531
shuttle-2_vs_5,0.5369464590243811,0.9859073578889476
shuttle-6_vs_2-3,0.9831818181818183,0.9754987647958127
shuttle-c0-vs-c4,0.5267778000171561,0.7998918160290087
shuttle-c2-vs-c4,0.9715447154471545,0.9717784108295382
vehicle0,0.5300459018430639,0.7563282912150875
vehicle1,0.501388349585693,0.7330518518615468
vehicle2,0.5304812131128382,0.7100102865575962
vehicle3,0.5612389143503362,0.7739334344595941
vowel0,0.8231749566938877,0.9471652853134951
winequality-red-3_vs_5,0.8259911894273128,0.9909956411477483
winequality-red-4,0.6373477507383631,0.9753628581290334
winequality-red-8_vs_6-7,0.514469666799416,0.8465471039798367
winequality-red-8_vs_6,0.5668756530825496,0.9538994256177614
winequality-white-3-9_vs_5,0.803761153054221,0.9900167671417257
winequality-white-3_vs_7,0.9009659090909091,0.9877672463477384
winequality-white-9_vs_4,0.7374233128834355,0.9769681362612826
wisconsinImb,0.6091729805118926,0.5646768191063275
yeast-0-2-5-6_vs_3-7-8-9,0.5865952341090463,0.9180702275389057
yeast-0-2-5-7-9_vs_3-6-8,0.5440705396506501,0.9115322821966859
yeast-0-3-5-9_vs_7-8,0.6239473684210526,0.9247351870944083
yeast-0-5-6-7-9_vs_4,0.5937024705060221,0.921716584495511
yeast-1-2-8-9_vs_7,0.619265721555798,0.9702427927082509
yeast-1-4-5-8_vs_7,0.5093011563599799,0.9435348911935537
yeast-1_vs_7,0.6191919191919192,0.9357542317945999
yeast-2_vs_4,0.6909329606572651,0.9323363880955633
yeast-2_vs_8,0.7848484848484849,0.9726284423316459
yeast1,0.5491090268341453,0.7466653444675735
yeast3,0.5134100862425286,0.8798180405598672
yeast4,0.6024246404772655,0.9724225404406837
yeast5,0.5109375,0.9702431445476548
