folder_name,OCKRA_std_auc,OCKRA_std_avgprecision
abalone-17_vs_7-8-9-10,0.849561403508772,0.9861464407267049
abalone-19_vs_10-11-12-13,0.653557389937107,0.9858699924534285
abalone-20_vs_8-9-10,0.8671347171347171,0.9923773615194367
abalone-21_vs_8,0.9229024943310657,0.986471211900305
abalone-3_vs_11,0.9749486652977413,0.9836059418427121
abalone19,0.764448032351521,0.9952385259929467
abalone9-18,0.8361669776764116,0.9667505472479204
car-good,0.5078797249958504,0.9580650370831727
car-vgood,0.5681206346269485,0.9565416115689129
cleveland-0_vs_4,0.8754807692307692,0.955542550581605
dermatology-6,0.8798816568047337,0.967885515713226
ecoli-0-1-3-7_vs_2-6,0.8279457768508863,0.9833347818882862
ecoli-0-1-4-6_vs_5,0.5040384615384617,0.9334797416855285
ecoli-0-1-4-7_vs_2-3-5-6,0.8166910030326856,0.9485120636811455
ecoli-0-1-4-7_vs_5-6,0.8472964169381108,0.9561188999607032
ecoli-0-1_vs_2-3-5,0.8640151515151515,0.9423211210782768
ecoli-0-1_vs_5,0.8731818181818182,0.9509616791175555
ecoli-0-2-3-4_vs_5,0.8370879120879121,0.939435044548294
ecoli-0-2-6-7_vs_3-5,0.7497749774977498,0.9348979673482549
ecoli-0-3-4-6_vs_5,0.817027027027027,0.9388972114150205
ecoli-0-3-4-7_vs_5-6,0.8434482758620689,0.942336797627399
ecoli-0-3-4_vs_5,0.8580555555555556,0.9391703607918498
ecoli-0-4-6_vs_5,0.6617486338797814,0.9264614294987799
ecoli-0-6-7_vs_3-5,0.7072727272727273,0.931835956492217
ecoli-0-6-7_vs_5,0.82125,0.9442876587303729
ecoli-0_vs_1,0.7904822450276995,0.8914815544425091
ecoli1,0.5707767136338565,0.8060538380588329
ecoli2,0.607394366197183,0.8800626141627376
ecoli3,0.5395348837209302,0.9074119170900856
ecoli4,0.8354430379746836,0.9641673245650115
flare-F,0.7668394371320103,0.9753110890056546
glass-0-1-2-3_vs_4-5-6,0.8918561289546494,0.8581231334906684
glass-0-1-4-6_vs_2,0.6298498122653318,0.8715520435457039
