folder_name,Avg_KNN_std_auc,Avg_KNN_std_avgprecision
abalone-17_vs_7-8-9-10,0.8603826376285542,0.8433178197436806
abalone-19_vs_10-11-12-13,0.6168042452830188,0.9714817095074401
abalone-20_vs_8-9-10,0.846988196988197,0.9043583518946736
abalone-21_vs_8,0.9518770471151423,0.509347604959258
abalone-3_vs_11,0.6922655715263518,0.9667618101219269
abalone19,0.7143363713182037,0.9861233871688593
abalone9-18,0.8401755477227175,0.7385647087605551
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8894230769230769,0.5813961620101233
dermatology-6,0.7773668639053255,0.8535057196462967
ecoli-0-1-3-7_vs_2-6,0.805526590198123,0.9010004080153355
ecoli-0-1-4-6_vs_5,0.8101923076923077,0.8013203196008588
ecoli-0-1-4-7_vs_2-3-5-6,0.8020891834213186,0.7038253921203714
ecoli-0-1-4-7_vs_5-6,0.8125081433224756,0.7850438814792857
ecoli-0-1_vs_2-3-5,0.7996212121212122,0.6798354267630883
ecoli-0-1_vs_5,0.7965909090909091,0.7830019712400618
ecoli-0-2-3-4_vs_5,0.835989010989011,0.7279941866874172
ecoli-0-2-6-7_vs_3-5,0.8267326732673268,0.6356093322227279
ecoli-0-3-4-6_vs_5,0.8229729729729729,0.7531757594987758
ecoli-0-3-4-7_vs_5-6,0.8284482758620689,0.7400850089016155
ecoli-0-3-4_vs_5,0.8377777777777778,0.7248357867351906
ecoli-0-4-6_vs_5,0.8314207650273223,0.703312437855962
ecoli-0-6-7_vs_3-5,0.8313636363636364,0.6265749588220797
ecoli-0-6-7_vs_5,0.8162499999999999,0.7307998689025673
ecoli-0_vs_1,0.769594042321315,0.5035911300061273
ecoli1,0.6317504888933461,0.6809242119053804
ecoli2,0.5497020585048754,0.8374913773004864
ecoli3,0.5001423825344091,0.8921930881415833
ecoli4,0.7859177215189873,0.8545565194021186
flare-F,0.7395826229284594,0.885198231688274
glass-0-1-2-3_vs_4-5-6,0.8291832070251414,0.5706591352384952
glass-0-1-4-6_vs_2,0.564142678347935,0.9265987560947074
glass-0-1-5_vs_2,0.5111954459203036,0.9015608324306055
glass-0-1-6_vs_2,0.5250420168067227,0.9131939908108173
glass-0-1-6_vs_5,0.8196825396825396,0.8419115217775028
glass-0-4_vs_5,0.8246318607764391,0.7070866022015447
glass-0-6_vs_5,0.8428731762065095,0.7280423196484902
glass0,0.7302579365079365,0.7738515963208024
glass1,0.5153508771929824,0.64177087968823
glass2,0.5807703792176769,0.932072848329248
glass4,0.8955223880597015,0.6815801097206566
glass5,0.8016260162601626,0.8745393127171068
glass6,0.713699906803355,0.737810701317502
habermanImb,0.6831001371742111,0.5696424445577251
iris0,0.7588,0.7445332722453875
kr-vs-k-one_vs_fifteen,0.6280009233610342,0.9293444391947953
kr-vs-k-three_vs_eleven,0.7932228537811346,0.9127038787511422
kr-vs-k-zero-one_vs_draw,0.8078411335922064,0.7515570447567763
kr-vs-k-zero_vs_eight,0.5029076529425449,0.9493338807803946
kr-vs-k-zero_vs_fifteen,0.583512875756643,0.8875035308274323
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5709293036879243,0.8872256799893161
lymphography-normal-fibrosis,0.9870892018779344,0.7751683501683501
new-thyroid1,0.867936507936508,0.5608453382804264
new-thyroid2,0.867936507936508,0.5608453382804264
page-blocks-1-3_vs_4,0.7322232947232946,0.6779878503094123
page-blocks0,0.727616884414938,0.5928229126615674
pimaImb,0.7084253731343283,0.5300763715289064
poker-8-9_vs_5,0.837619512195122,0.8603117092618484
poker-8-9_vs_6,0.8456438356164383,0.7432473835047153
poker-8_vs_6,0.7764302981466559,0.9622795041600734
poker-9_vs_7,0.9814618644067796,0.7776268115942029
segment0,0.7452721662563297,0.909723833296452
shuttle-2_vs_5,0.9826589956460086,0.7230189160495815
shuttle-6_vs_2-3,0.9813636363636363,0.5456344962227315
shuttle-c0-vs-c4,0.7005165889876953,0.8529892984114333
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5467833759213377,0.7626702578440552
vehicle1,0.5834877979090503,0.7147950545902628
vehicle2,0.6322678665342137,0.7561466356129561
vehicle3,0.594756264508065,0.7244350461638636
vowel0,0.5323434793367978,0.8754494258191035
winequality-red-3_vs_5,0.8524229074889867,0.9274922582245362
winequality-red-4,0.65357953574654,0.9232112687199743
winequality-red-8_vs_6-7,0.6272401433691757,0.959948702626422
winequality-red-8_vs_6,0.6922675026123302,0.9353594514936464
