folder_name,BRM_std_auc,BRM_std_avgprecision
abalone-17_vs_7-8-9-10,0.8414776164549305,0.9860256494906688
abalone-19_vs_10-11-12-13,0.6319772012578616,0.9851229277349524
abalone-20_vs_8-9-10,0.8401505901505901,0.9920965819722699
abalone-21_vs_8,0.9380196523053665,0.9866453359513799
abalone-3_vs_11,0.7242984257357975,0.7405609081706863
abalone19,0.7512825929502656,0.9951680481749569
abalone9-18,0.8406593406593407,0.9666283850967606
car-good,0.5408531418437857,0.9609604951022953
car-vgood,0.5374809195614968,0.9663297514800288
cleveland-0_vs_4,0.8658653846153845,0.9546424082790514
dermatology-6,0.6689349112426035,0.9596742635861163
ecoli-0-1-3-7_vs_2-6,0.8117831074035453,0.9833460764006586
ecoli-0-1-4-6_vs_5,0.8063461538461538,0.9557693592381735
ecoli-0-1-4-7_vs_2-3-5-6,0.7764798382567674,0.9457460425061355
ecoli-0-1-4-7_vs_5-6,0.7898371335504886,0.9528432085653586
ecoli-0-1_vs_2-3-5,0.7763257575757576,0.9377406049282948
ecoli-0-1_vs_5,0.7822727272727272,0.9469526096469025
ecoli-0-2-3-4_vs_5,0.8093406593406594,0.9376129125429997
ecoli-0-2-6-7_vs_3-5,0.8148064806480648,0.9395177704202986
ecoli-0-3-4-6_vs_5,0.7916216216216216,0.9372967682225525
ecoli-0-3-4-7_vs_5-6,0.8224137931034483,0.9409446832727917
ecoli-0-3-4_vs_5,0.8116666666666666,0.9372080480803797
ecoli-0-4-6_vs_5,0.8163934426229508,0.9390533122566898
ecoli-0-6-7_vs_3-5,0.7820454545454545,0.9370506804078195
ecoli-0-6-7_vs_5,0.7929999999999999,0.9424920927457608
ecoli-0_vs_1,0.7718644991372265,0.8595603463313906
ecoli1,0.6327533470390614,0.8259392847163728
ecoli2,0.5287784398699892,0.862079886578681
ecoli3,0.5057427622211677,0.8989187599224103
ecoli4,0.7890822784810126,0.9625539459683817
flare-F,0.7259996817386164,0.9739780603072667
glass-0-1-2-3_vs_4-5-6,0.8027186334656562,0.849691817962682
glass-0-1-4-6_vs_2,0.5678973717146433,0.8996344675220553
glass-0-1-5_vs_2,0.5058823529411764,0.8999524149101255
glass-0-1-6_vs_2,0.5368067226890756,0.9010443818598702
glass-0-1-6_vs_5,0.8406349206349206,0.9686045889843977
glass-0-4_vs_5,0.7817938420348058,0.9337073849786308
glass-0-6_vs_5,0.8473625140291807,0.9468941946974377
glass0,0.7265873015873017,0.5063165603939321
glass1,0.5146834477498092,0.6107085195766517
glass2,0.5954016124216184,0.8983798368831536
glass4,0.884424033677765,0.9637338724744149
glass5,0.7783197831978319,0.9716987832775386
glass6,0.6853681267474371,0.9029357188303216
habermanImb,0.6623868312757202,0.7933140597557332
iris0,0.7556,0.6925081687251571
kr-vs-k-one_vs_fifteen,0.7538946894902574,0.9784701943441723
kr-vs-k-three_vs_eleven,0.7535016913666761,0.9831278390405725
kr-vs-k-zero-one_vs_draw,0.7285067102663669,0.9754489995870594
kr-vs-k-zero_vs_eight,0.5103253986715257,0.9760620484009376
kr-vs-k-zero_vs_fifteen,0.6926575698505524,0.9908485544463266
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5831780055917988,0.9280232901633149
lymphography-normal-fibrosis,0.9342723004694836,0.9749236237287708
new-thyroid1,0.8815873015873016,0.9043562252819715
new-thyroid2,0.8647619047619047,0.9036356596527267
page-blocks-1-3_vs_4,0.743484555984556,0.9560497878663095
page-blocks0,0.6656484730554948,0.8270068758530389
pimaImb,0.6871044776119403,0.7461009300700986
poker-8-9_vs_5,0.7857560975609756,0.9927151431186636
poker-8-9_vs_6,0.7964931506849315,0.989894554275053
poker-8_vs_6,0.7616035455278001,0.9926562261754206
poker-9_vs_7,0.9496822033898306,0.9809695151747574
segment0,0.7324352509864214,0.7371118671269782
shuttle-2_vs_5,0.9841582179244517,0.9923242322706999
shuttle-6_vs_2-3,0.995,0.9757173008858809
shuttle-c0-vs-c4,0.6237716714799035,0.9502045593811245
shuttle-c2-vs-c4,0.967479674796748,0.9716174452106654
vehicle0,0.5327720519133534,0.7521638519979148
vehicle1,0.5994300073996468,0.7982990633310569
vehicle2,0.6417708759422662,0.5061205368864492
vehicle3,0.569943753348015,0.7936269703426464
vowel0,0.529621380846325,0.8538907056627761
winequality-red-3_vs_5,0.8027900146842879,0.9907070296525439
winequality-red-4,0.6557763186799777,0.9766510760988497
winequality-red-8_vs_6,0.6974050853361198,0.9798284388533723
winequality-red-8_vs_6-7,0.6579052170450019,0.9761027710846681
winequality-white-3-9_vs_5,0.8740425531914894,0.9905674896020603
winequality-white-3_vs_7,0.9447727272727273,0.9880253911984554
winequality-white-9_vs_4,0.649079754601227,0.9740639303420819
wisconsinImb,0.9742545893173509,0.7966251772604311
yeast-0-2-5-6_vs_3-7-8-9,0.6444444444444444,0.9263860737343488
yeast-0-2-5-7-9_vs_3-6-8,0.636877057871533,0.9269141218581762
yeast-0-3-5-9_vs_7-8,0.6217982456140352,0.9241240489075596
yeast-0-5-6-7-9_vs_4,0.6311916800263082,0.9061256473232373
yeast-1-2-8-9_vs_7,0.5946201381315885,0.9684037433740806
yeast-1-4-5-8_vs_7,0.5353946706887883,0.9306041516060031
yeast-1_vs_7,0.5836829836829837,0.9373569896713213
yeast-2_vs_4,0.7846525219158937,0.9396755106292767
yeast-2_vs_8,0.7651515151515151,0.9728193706005085
yeast1,0.5413537489366873,0.7314226575974719
yeast3,0.5592667759598371,0.9095001366299565
yeast4,0.6748491441238045,0.9754610289915553
yeast5,0.6471590909090909,0.9786388194993031
