folder_name,SO_GAAL_std_auc,SO_GAAL_std_avgprecision
abalone-17_vs_7-8-9-10,0.6593617664851785,0.982673575635243
abalone-19_vs_10-11-12-13,0.5003537735849057,0.9814245518911197
abalone-20_vs_8-9-10,0.6338624338624339,0.9898758024110578
abalone-21_vs_8,0.8383723859914336,0.9856648881260609
abalone-3_vs_11,1.0,1.0
abalone19,0.6495842889908257,0.994452439024952
abalone9-18,0.7438661966963853,0.962120862376698
car-good,0.6778747455687466,0.9729417642254323
car-vgood,0.5502937231139275,0.955593077425143
cleveland-0_vs_4,0.9706730769230769,0.9578323760467378
dermatology-6,0.5899408284023668,0.952208805358163
ecoli-0-1-3-7_vs_2-6,0.7314911366006257,0.6456751420695734
ecoli-0-1-4-6_vs_5,0.8078846153846153,0.9324981651073158
ecoli-0-1-4-7_vs_2-3-5-6,0.5354374929798944,0.8210963539112413
ecoli-0-1-4-7_vs_5-6,0.5399348534201955,0.7205642972597179
ecoli-0-1_vs_2-3-5,0.7579545454545455,0.8914919597934928
ecoli-0-1_vs_5,0.8059090909090909,0.9253727933147863
ecoli-0-2-3-4_vs_5,0.7876373626373626,0.9368910779446341
ecoli-0-2-6-7_vs_3-5,0.6586408640864085,0.8337614979721704
ecoli-0-3-4-6_vs_5,0.7805405405405406,0.9371512558822273
ecoli-0-3-4-7_vs_5-6,0.6293103448275862,0.8168465344645444
ecoli-0-3-4_vs_5,0.8308333333333333,0.9313374981659907
ecoli-0-4-6_vs_5,0.8030054644808744,0.9316641420167036
ecoli-0-6-7_vs_3-5,0.7356818181818181,0.8000284262904303
ecoli-0-6-7_vs_5,0.69825,0.9230254956235022
ecoli-0_vs_1,0.8973753519208064,0.9211799786618043
ecoli1,0.7668856240284811,0.8527482399162433
ecoli2,0.6635969664138678,0.8879498974861068
ecoli3,0.8044613194114856,0.933012581765858
ecoli4,0.9596518987341772,0.9674816369514414
flare-F,0.7567914705949215,0.9747485332304661
glass-0-1-2-3_vs_4-5-6,0.5563575123300853,0.7277365153809483
glass-0-1-4-6_vs_2,0.5876095118898623,0.8955276898626606
glass-0-1-5_vs_2,0.5240986717267553,0.8892548955005153
glass-0-1-6_vs_2,0.6063865546218488,0.8092560261817487
glass-0-1-6_vs_5,0.5987301587301588,0.9254280707421291
glass-0-4_vs_5,0.7362784471218207,0.5823062012329299
glass-0-6_vs_5,0.734006734006734,0.7290194113873281
glass0,0.6564484126984128,0.5600986407011346
glass1,0.6296720061022121,0.7179396849957982
glass2,0.6321289937294714,0.8393212591092936
glass4,0.6555683122847302,0.944322323031805
glass5,0.7224932249322493,0.8098865700114064
glass6,0.5958993476234856,0.8782816331394309
habermanImb,0.6555829903978052,0.7924784579984876
iris0,0.9997999999999999,0.999607843137255
kr-vs-k-one_vs_fifteen,0.827485380116959,0.7488255006473652
kr-vs-k-three_vs_eleven,0.8412970316731121,0.8932860237524525
kr-vs-k-zero-one_vs_draw,0.5242659581715375,0.9672300112878329
kr-vs-k-zero_vs_eight,0.5874234318058463,0.978144574587215
kr-vs-k-zero_vs_fifteen,0.8076502171608358,0.8866622371225669
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9055052589535348,0.5112354727018853
lymphography-normal-fibrosis,0.9330985915492958,0.975317294127965
new-thyroid1,0.5025396825396825,0.7229626034193405
new-thyroid2,0.6931746031746031,0.8857673773460304
page-blocks-1-3_vs_4,0.9374195624195625,0.9677759840548543
page-blocks0,0.7645176336593034,0.5743875627337471
pimaImb,0.6752089552238806,0.7244964437844884
poker-8-9_vs_5,0.6202634146341464,0.9390768043695149
poker-8-9_vs_6,0.5821643835616438,0.9546186081762333
poker-8_vs_6,0.509911361804996,0.9786803784356306
poker-9_vs_7,0.763771186440678,0.9766540897563982
segment0,0.5891150392187883,0.8473351493434979
shuttle-2_vs_5,0.9089878375592662,0.8077092416629021
shuttle-6_vs_2-3,0.7572727272727273,0.9703859168661779
shuttle-c0-vs-c4,0.5595745289223115,0.8270217312933746
shuttle-c2-vs-c4,0.513550135501355,0.54657665340852
vehicle0,0.6022539280638122,0.68221171972189
vehicle1,0.6075329870396284,0.7737838508861363
vehicle2,0.6176517851925436,0.7127387294697657
vehicle3,0.5324013451580263,0.7486056765582851
vowel0,0.6174090571640682,0.8773071162705887
winequality-red-3_vs_5,0.5226138032305434,0.979697834416779
winequality-red-4,0.5771558983621763,0.9572489714125995
winequality-red-8_vs_6,0.5812434691745036,0.9581020760583985
winequality-red-8_vs_6-7,0.5902031063321386,0.9560193945795584
winequality-white-3-9_vs_5,0.5757584076870281,0.900417748373908
winequality-white-3_vs_7,0.5983522727272728,0.775136222813745
winequality-white-9_vs_4,0.660122699386503,0.9739760222279351
wisconsinImb,0.9865430283840326,0.7981344852069775
yeast-0-2-5-6_vs_3-7-8-9,0.5930799709805235,0.9195156841667124
yeast-0-2-5-7-9_vs_3-6-8,0.5673419275629221,0.9199002866524363
yeast-0-3-5-9_vs_7-8,0.5628070175438598,0.9143147224001789
yeast-0-5-6-7-9_vs_4,0.587947547991943,0.9157170699726285
yeast-1-2-8-9_vs_7,0.5429298436932025,0.9000399372111507
yeast-1-4-5-8_vs_7,0.5339869281045752,0.9580895252929982
yeast-1_vs_7,0.6523698523698523,0.8510924904076288
yeast-2_vs_4,0.5317409901325542,0.83968886670943
yeast-2_vs_8,0.656060606060606,0.9681721807796873
yeast1,0.61193119676532,0.7673929925589713
yeast3,0.8272455798962489,0.6923678888751541
yeast4,0.5992501676176402,0.9508642548978731
yeast5,0.7193813131313131,0.9432216578180295
