folder_name,MAX_Bagging_std_auc,MAX_Bagging_std_avgprecision
abalone-17_vs_7-8-9-10,0.7579212038717482,0.9436680776965451
abalone-19_vs_10-11-12-13,0.5921285377358492,0.9733366289160403
abalone-20_vs_8-9-10,0.796927146927147,0.9575509172189042
abalone-21_vs_8,0.8706223230032755,0.8281893523291765
abalone-3_vs_11,0.6416153319644079,0.9592452052479555
abalone19,0.5919430528730082,0.9902539345576257
abalone9-18,0.7771269610892253,0.812737749080473
car-good,0.5949891238829048,0.9431081385960106
car-vgood,0.6327767241778066,0.9711078258517176
cleveland-0_vs_4,0.6822115384615385,0.8460067800027201
dermatology-6,0.8332840236686391,0.8341336660196801
ecoli-0-1-3-7_vs_2-6,0.8409801876955162,0.50856704428133
ecoli-0-1-4-6_vs_5,0.7292307692307692,0.8762795888636837
ecoli-0-1-4-7_vs_2-3-5-6,0.7122318319667528,0.6271897302910998
ecoli-0-1-4-7_vs_5-6,0.7155700325732899,0.661231394858129
ecoli-0-1_vs_2-3-5,0.7789772727272728,0.6996800534710663
ecoli-0-1_vs_5,0.7575,0.8035776320862646
ecoli-0-2-3-4_vs_5,0.8225274725274724,0.7621761713586143
ecoli-0-2-6-7_vs_3-5,0.6505400540054006,0.8007138548264437
ecoli-0-3-4-6_vs_5,0.7970270270270271,0.792104934868977
ecoli-0-3-4-7_vs_5-6,0.696551724137931,0.7120872669509929
ecoli-0-3-4_vs_5,0.8216666666666665,0.7615515539328941
ecoli-0-4-6_vs_5,0.7584699453551912,0.8133250422001516
ecoli-0-6-7_vs_3-5,0.6593181818181818,0.7952759842242991
ecoli-0-6-7_vs_5,0.6905,0.8428737642479549
ecoli-0_vs_1,0.6150213422940696,0.5663165201588302
ecoli1,0.5910344481773052,0.6998274363355836
ecoli2,0.6021803900325027,0.8776491542289624
ecoli3,0.5169435215946844,0.8886146355374483
ecoli4,0.6806962025316456,0.9055403694691813
flare-F,0.6107776944236059,0.9273795803968283
glass-0-1-2-3_vs_4-5-6,0.6638999157945387,0.5081889293091877
glass-0-1-4-6_vs_2,0.5309762202753441,0.9108081551173396
glass-0-1-5_vs_2,0.5104364326375712,0.8972753051393058
glass-0-1-6_vs_2,0.5512605042016807,0.8984685136187751
glass-0-1-6_vs_5,0.8342857142857143,0.8088639172205554
glass-0-4_vs_5,0.8634538152610441,0.7025784157363104
glass-0-6_vs_5,0.8698092031425365,0.713755263579825
glass0,0.6550595238095238,0.7522537354658023
glass1,0.5102974828375286,0.6494172826199305
glass2,0.5530008957897881,0.9129931414425603
glass4,0.8970531955606583,0.5692255395067093
glass5,0.7907859078590787,0.8605475808946557
glass6,0.5394221808014912,0.8374063838781113
habermanImb,0.6162688614540466,0.6744297067893468
iris0,0.5668,0.5824935543559269
kr-vs-k-one_vs_fifteen,0.7424769751639558,0.9157482483252228
kr-vs-k-three_vs_eleven,0.7277635028160607,0.9382412999378551
kr-vs-k-zero-one_vs_draw,0.7307360855644116,0.8116486751051344
kr-vs-k-zero_vs_eight,0.5522602155540048,0.9731988322706427
kr-vs-k-zero_vs_fifteen,0.7200591635033001,0.8800184107608081
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5904673146052456,0.7656236753824571
lymphography-normal-fibrosis,0.9859154929577465,0.787037037037037
new-thyroid1,0.8161904761904761,0.6600156488745379
new-thyroid2,0.8161904761904761,0.6600156488745379
page-blocks-1-3_vs_4,0.7591698841698843,0.8895773055915125
page-blocks0,0.7876886082595663,0.6073422736058951
pimaImb,0.5894179104477612,0.5953711797889844
poker-8-9_vs_5,0.7058146341463414,0.9648934683764903
poker-8-9_vs_6,0.790958904109589,0.8354027372176449
poker-8_vs_6,0.7091055600322321,0.9761706891291503
poker-9_vs_7,0.9449152542372881,0.5008351948712361
segment0,0.6179213043952382,0.8890313995980615
shuttle-2_vs_5,0.5943791658077373,0.9693647247110466
shuttle-6_vs_2-3,0.9818181818181818,0.5327084027084027
shuttle-c0-vs-c4,0.6416140069958729,0.9508722317762577
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5222635589073652,0.7553791022552271
vehicle1,0.55005018572381,0.7712740714493452
vehicle2,0.5067492549523753,0.712643280478863
vehicle3,0.565278852449259,0.7265357212931909
vowel0,0.7567062608265281,0.7218702943632112
winequality-red-3_vs_5,0.8071953010279,0.8436071927227707
winequality-red-4,0.6130855036735092,0.9498279115524687
winequality-red-8_vs_6-7,0.519248639320324,0.9722688976839077
winequality-red-8_vs_6,0.5710553814002088,0.9591854251952847
winequality-white-3-9_vs_5,0.811420727522306,0.8012177081859241
winequality-white-3_vs_7,0.8960227272727272,0.5234528518738724
winequality-white-9_vs_4,0.70920245398773,0.9424500696869118
wisconsinImb,0.6270119491876814,0.7245045729704781
yeast-0-2-5-6_vs_3-7-8-9,0.6196216306713545,0.7780469408349622
yeast-0-2-5-7-9_vs_3-6-8,0.6002790334282047,0.8404617544500015
yeast-0-3-5-9_vs_7-8,0.6041228070175438,0.8062647471897647
yeast-0-5-6-7-9_vs_4,0.6010194434167798,0.8690034961744428
yeast-1-2-8-9_vs_7,0.6235187204652853,0.9330729011328522
yeast-1-4-5-8_vs_7,0.5015334338863751,0.955077242755327
yeast-1_vs_7,0.6211732711732711,0.885455364184566
yeast-2_vs_4,0.7528056579003091,0.7939025428709405
yeast-2_vs_8,0.7938311688311689,0.6441360915857093
yeast1,0.5094245407041615,0.7151619466697978
yeast3,0.5034529520766476,0.8915651342963987
yeast4,0.6251795903288042,0.9475467643471603
yeast5,0.6052714646464646,0.9615680529920969
