folder_name,COF_std_auc,COF_std_avgprecision
abalone-17_vs_7-8-9-10,0.7762326073805202,0.9242707583660552
abalone-19_vs_10-11-12-13,0.5762382075471698,0.9736113898884966
abalone-20_vs_8-9-10,0.8084249084249084,0.9394865278334591
abalone-21_vs_8,0.9237843285462334,0.7647941639909199
abalone-3_vs_11,0.8505133470225873,0.9822303432038683
abalone19,0.5466335707387735,0.9913408477592365
abalone9-18,0.8030617181560578,0.8042832056080061
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.7177884615384615,0.8092574503168948
dermatology-6,0.5420118343195266,0.9479302192080677
ecoli-0-1-3-7_vs_2-6,0.7950990615224192,0.7897078001363715
ecoli-0-1-4-6_vs_5,0.5761538461538461,0.9088263138110342
ecoli-0-1-4-7_vs_2-3-5-6,0.6604515331910592,0.7873553937574025
ecoli-0-1-4-7_vs_5-6,0.6695765472312704,0.8323387139829559
ecoli-0-1_vs_2-3-5,0.5696969696969698,0.7901162828101853
ecoli-0-1_vs_5,0.5411363636363636,0.8844318206266442
ecoli-0-2-3-4_vs_5,0.5928571428571429,0.8654569777147675
ecoli-0-2-6-7_vs_3-5,0.639063906390639,0.7447821816685014
ecoli-0-3-4-6_vs_5,0.6010810810810812,0.8753543031957126
ecoli-0-3-4-7_vs_5-6,0.6537931034482759,0.8380055607932309
ecoli-0-3-4_vs_5,0.6175,0.8508862390011931
ecoli-0-4-6_vs_5,0.6065573770491803,0.8685845856289338
ecoli-0-6-7_vs_3-5,0.6418181818181818,0.7299466230301964
ecoli-0-6-7_vs_5,0.6015,0.8318148409382341
ecoli-0_vs_1,0.5374625374625375,0.6087261026228796
ecoli1,0.5667151381437096,0.6821441564079143
ecoli2,0.5832204767063922,0.8687201570339063
ecoli3,0.5514000949216896,0.9066190493127102
ecoli4,0.5367088607594936,0.9360024091661572
flare-F,0.6507422310122986,0.9453153105141191
glass-0-1-2-3_vs_4-5-6,0.6379165162997713,0.5243773579499388
glass-0-1-4-6_vs_2,0.512828535669587,0.9181958533059831
glass-0-1-5_vs_2,0.5297912713472486,0.9039130908427744
glass-0-1-6_vs_2,0.5163025210084033,0.9050946269978255
glass-0-1-6_vs_5,0.8050793650793651,0.8548640310558392
glass-0-4_vs_5,0.7349397590361446,0.7645289631003916
glass-0-6_vs_5,0.8215488215488216,0.7722030312113591
glass0,0.6788690476190475,0.7599420865925894
glass1,0.5695080091533181,0.6176516931116247
glass2,0.5111973723499553,0.9206003950531095
glass4,0.886337543053961,0.587540500934563
glass5,0.7956639566395665,0.8866209928750945
glass6,0.5761416589002796,0.8024455450874923
habermanImb,0.6172839506172839,0.6289903873432934
iris0,0.5271999999999999,0.6164548712362639
kr-vs-k-one_vs_fifteen,0.5391954921040794,0.9352312921755866
kr-vs-k-three_vs_eleven,0.5884701566785192,0.9433434450659626
kr-vs-k-zero-one_vs_draw,0.6818107500510935,0.7168755936067578
kr-vs-k-zero_vs_eight,0.57705926442842,0.9492312593419017
kr-vs-k-zero_vs_fifteen,0.5530932594644505,0.6356602051811966
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5521568366395952,0.8383606083661493
lymphography-normal-fibrosis,0.9237089201877934,0.8198412698412698
new-thyroid1,0.8050793650793651,0.5932091462554937
new-thyroid2,0.8050793650793651,0.5932091462554937
page-blocks-1-3_vs_4,0.5633848133848134,0.9131345808623229
page-blocks0,0.6476929339742284,0.7248132663802505
pimaImb,0.5912388059701492,0.5639363031434352
poker-8-9_vs_5,0.8118634146341464,0.8987825793722621
poker-8-9_vs_6,0.8898356164383562,0.745741484830935
poker-8_vs_6,0.8437147461724416,0.9374521371580001
poker-9_vs_7,0.9984110169491526,0.9659090909090909
segment0,0.5799604049203567,0.8851803649998699
shuttle-2_vs_5,0.5214107681640149,0.9851769259802334
shuttle-6_vs_2-3,0.9581818181818181,0.6545491211051851
shuttle-c0-vs-c4,0.5128718344627761,0.9162594439410107
shuttle-c2-vs-c4,0.967479674796748,0.5478835978835979
vehicle0,0.5361661475849107,0.7465754521892298
