folder_name,Largest_KNN_std_auc,Largest_KNN_std_avgprecision
abalone-17_vs_7-8-9-10,0.868103448275862,0.8446923006753433
abalone-19_vs_10-11-12-13,0.6304048742138364,0.9703198592203409
abalone-20_vs_8-9-10,0.8742877492877492,0.8992034773062252
abalone-21_vs_8,0.9504913076341648,0.5240406529575785
abalone-3_vs_11,0.6227241615331964,0.9419202046540702
abalone19,0.7254722959922744,0.9851604088506556
abalone9-18,0.8371691201879881,0.7187537207518525
car-good,0.5,0.9600694444444444
car-vgood,0.5,0.9623842592592593
cleveland-0_vs_4,0.8908653846153846,0.5636490617094564
dermatology-6,0.8201183431952663,0.8052067285644962
ecoli-0-1-3-7_vs_2-6,0.8154327424400418,0.830839801271695
ecoli-0-1-4-6_vs_5,0.7926923076923076,0.8196365516315723
ecoli-0-1-4-7_vs_2-3-5-6,0.7966415814893857,0.6796108346447601
ecoli-0-1-4-7_vs_5-6,0.8100325732899023,0.7571969380842699
ecoli-0-1_vs_2-3-5,0.7866477272727272,0.6966418912247777
ecoli-0-1_vs_5,0.7838636363636363,0.799878405800336
ecoli-0-2-3-4_vs_5,0.8335164835164834,0.7355458277104545
ecoli-0-2-6-7_vs_3-5,0.8149189918991899,0.6312485099081044
ecoli-0-3-4-6_vs_5,0.8143243243243243,0.7689704211299841
ecoli-0-3-4-7_vs_5-6,0.8248275862068964,0.7187359371776365
ecoli-0-3-4_vs_5,0.835,0.730367199075695
ecoli-0-4-6_vs_5,0.8237704918032787,0.722769857175845
ecoli-0-6-7_vs_3-5,0.8180681818181819,0.6240916220850911
ecoli-0-6-7_vs_5,0.8018749999999999,0.7311029341637113
ecoli-0_vs_1,0.7724094087730451,0.5009574903244067
ecoli1,0.6167326881612597,0.6890181203310969
ecoli2,0.5669691224268689,0.8339571600490141
ecoli3,0.5018509729473184,0.8960984415875883
ecoli4,0.7977848101265822,0.8533617057701521
flare-F,0.734126713496556,0.8852980570030313
glass-0-1-2-3_vs_4-5-6,0.8324311319619871,0.5824601840210288
glass-0-1-4-6_vs_2,0.5539737171464331,0.925802938104482
glass-0-1-5_vs_2,0.513472485768501,0.8970623057709866
glass-0-1-6_vs_2,0.5117647058823529,0.911620190053628
glass-0-1-6_vs_5,0.846984126984127,0.8285113463491408
glass-0-4_vs_5,0.8420348058902276,0.7233614762283761
