folder_name,CBLOF_std_auc,CBLOF_std_avgprecision
abalone-17_vs_7-8-9-10,0.7715592861464005,0.8739737815482242
abalone-19_vs_10-11-12-13,0.578439465408805,0.9741999543334458
abalone-20_vs_8-9-10,0.8700447700447701,0.8990865797502201
abalone-21_vs_8,0.9004787100025196,0.6666428893417564
abalone-3_vs_11,0.9969883641341547,0.883957023655166
abalone19,0.5413296716562047,0.9911298391514507
abalone9-18,0.7713041675305825,0.8068878591656368
car-good,0.5670912283460439,0.9606355676328502
car-vgood,0.6718858411582405,0.9434788803757395
cleveland-0_vs_4,0.7875000000000001,0.7231404665117892
dermatology-6,0.6050295857988166,0.9180856062912156
ecoli-0-1-3-7_vs_2-6,0.5318039624608968,0.9671955195971228
ecoli-0-1-4-6_vs_5,0.5840384615384615,0.8885562941385174
ecoli-0-1-4-7_vs_2-3-5-6,0.6249578793665057,0.8065564500863126
ecoli-0-1-4-7_vs_5-6,0.5989576547231271,0.7487938586590851
ecoli-0-1_vs_2-3-5,0.6321969696969697,0.7695633047399311
ecoli-0-1_vs_5,0.6234090909090909,0.8612070505351985
ecoli-0-2-3-4_vs_5,0.6766483516483517,0.8116816745663062
ecoli-0-2-6-7_vs_3-5,0.6118361836183618,0.7332196310875472
ecoli-0-3-4-6_vs_5,0.6935135135135135,0.8049806835482513
ecoli-0-3-4-7_vs_5-6,0.5917241379310345,0.8422509232917399
ecoli-0-3-4_vs_5,0.6694444444444445,0.8141580305026063
ecoli-0-4-6_vs_5,0.6683060109289618,0.7934935019953782
ecoli-0-6-7_vs_3-5,0.661590909090909,0.6494177553935332
ecoli-0-6-7_vs_5,0.6597500000000001,0.8006910000824088
ecoli-0_vs_1,0.624284806102988,0.557816228065395
ecoli1,0.6055257483828912,0.6520562969578825
ecoli2,0.5694745395449621,0.8664842226454234
ecoli3,0.5420977693402942,0.8819059799365254
ecoli4,0.593512658227848,0.9207517669153716
flare-F,0.7978926549819273,0.8410927453415532
glass-0-1-2-3_vs_4-5-6,0.8231685312161675,0.5496379367626636
glass-0-1-4-6_vs_2,0.6016896120150188,0.9315204496421158
glass-0-1-5_vs_2,0.5066413662239089,0.8943972521485465
glass-0-1-6_vs_2,0.5304201680672269,0.9134411552941787
glass-0-1-6_vs_5,0.7593650793650795,0.877357351817291
glass-0-4_vs_5,0.8299866131191432,0.7323380523380523
glass-0-6_vs_5,0.7317620650953984,0.7269749534691592
glass0,0.7280753968253968,0.7734429359425645
glass1,0.5077231121281464,0.6328797567283515
glass2,0.5813675724096745,0.931728326449501
glass4,0.81132797550708,0.6657339566409408
glass5,0.8628726287262873,0.8474832026853105
glass6,0.7593662628145387,0.7302712528325186
habermanImb,0.6330041152263374,0.6095745100611487
iris0,0.6144,0.6659561433741501
kr-vs-k-one_vs_fifteen,0.9975672988138362,0.9511776444862319
kr-vs-k-three_vs_eleven,0.8791300059695294,0.8228839093772036
kr-vs-k-zero-one_vs_draw,0.7966073983241365,0.6525504533343096
kr-vs-k-zero_vs_eight,0.6536662272879997,0.9725543105091344
kr-vs-k-zero_vs_fifteen,0.9987175541192161,0.9330071729961559
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5849753694581281,0.9089410511627066
lymphography-normal-fibrosis,0.9507042253521126,0.7159159159159159
new-thyroid1,0.768888888888889,0.695308914521755
new-thyroid2,0.8204761904761905,0.6489521789165533
page-blocks-1-3_vs_4,0.8287483912483913,0.6336559728928524
page-blocks0,0.8406096126264261,0.5769215710078557
pimaImb,0.6467611940298508,0.5265632648563838
poker-8-9_vs_5,0.5956292682926829,0.9678408822926365
poker-8-9_vs_6,0.709917808219178,0.8963671257738741
poker-8_vs_6,0.6027800161160355,0.9664423563355812
poker-9_vs_7,0.9692796610169492,0.7362182088744589
segment0,0.668115516878593,0.9007037700426918
shuttle-2_vs_5,0.9919604205318491,0.5515757030436512
shuttle-6_vs_2-3,0.985909090909091,0.6238509151667045
shuttle-c0-vs-c4,0.6238193272905765,0.7997550409120431
shuttle-c2-vs-c4,0.9742547425474255,0.5089285714285714
vehicle0,0.5377195094483236,0.7766896769096125
vehicle1,0.5333899906954935,0.7342730447620802
vehicle2,0.5883100566820546,0.7126490717309549
vehicle3,0.5884173561097554,0.7128409972046432
vowel0,0.7204404850284584,0.5843549854030159
winequality-red-3_vs_5,0.7292217327459618,0.9651164084330781
winequality-red-4,0.6132197515194415,0.9342010890428388
winequality-red-8_vs_6-7,0.5624585158635338,0.9647342654550425
winequality-red-8_vs_6,0.6293103448275862,0.951119862311196
winequality-white-3-9_vs_5,0.7677419354838709,0.8557484694108393
winequality-white-3_vs_7,0.8819318181818182,0.5769061866428546
winequality-white-9_vs_4,0.634355828220859,0.9487617362489926
wisconsinImb,0.9604489426665159,0.9027862599737413
yeast-0-2-5-6_vs_3-7-8-9,0.6143199955354652,0.7583832896104323
yeast-0-2-5-7-9_vs_3-6-8,0.6202243428762766,0.8304864021199145
yeast-0-3-5-9_vs_7-8,0.6417543859649123,0.8065422958538648
yeast-0-5-6-7-9_vs_4,0.6171743330455871,0.8672584266832002
yeast-1-2-8-9_vs_7,0.5873137041075972,0.9488256195847709
yeast-1-4-5-8_vs_7,0.5129713423831072,0.9566470165378225
yeast-1_vs_7,0.5864801864801865,0.9110820143828607
yeast-2_vs_4,0.7175284800745352,0.793638233626667
yeast-2_vs_8,0.7877705627705628,0.6948821887088148
yeast1,0.5178868524840089,0.7113921444733635
yeast3,0.515481393069946,0.8970808067668115
yeast4,0.6745344334523761,0.9426291465502049
yeast5,0.6078440656565657,0.9574656611117934
yeast6,0.6013211081534062,0.9629352730304742
zoo-3,0.7864583333333334,0.7210138248847926
