folder_name,LODA_std_auc,LODA_std_avgprecision
abalone-17_vs_7-8-9-10,0.7795220810647309,0.8484108785152419
abalone-19_vs_10-11-12-13,0.5306014150943397,0.9791157277063408
abalone-20_vs_8-9-10,0.7006715506715506,0.9543316746098816
abalone-21_vs_8,0.7773998488284203,0.7865769753152413
abalone-3_vs_11,0.9980835044490076,0.8931638187520541
abalone19,0.5191709922742637,0.988989245588602
abalone9-18,0.6673923560716013,0.8249799209960287
car-good,0.5346681692306349,0.9603127168050631
car-vgood,0.6006845830056895,0.9709839626524853
cleveland-0_vs_4,0.6706730769230769,0.9400448266665585
dermatology-6,0.9655325443786983,0.8300480078670475
ecoli-0-1-3-7_vs_2-6,0.8441084462982273,0.5651766779586329
ecoli-0-1-4-6_vs_5,0.6884615384615385,0.8521544194933458
ecoli-0-1-4-7_vs_2-3-5-6,0.8052341907222285,0.629138786365272
ecoli-0-1-4-7_vs_5-6,0.6981107491856676,0.6426583488241231
ecoli-0-1_vs_2-3-5,0.8615530303030303,0.620432161359136
ecoli-0-1_vs_5,0.6172727272727273,0.8827096081103203
ecoli-0-2-3-4_vs_5,0.6425824175824176,0.8015396186920429
ecoli-0-2-6-7_vs_3-5,0.8325832583258326,0.6628352769709639
ecoli-0-3-4-6_vs_5,0.8564864864864865,0.6303352454185456
ecoli-0-3-4-7_vs_5-6,0.8174137931034482,0.598185951889426
ecoli-0-3-4_vs_5,0.7138888888888889,0.8380797351239684
ecoli-0-4-6_vs_5,0.866120218579235,0.6895849956870073
ecoli-0-6-7_vs_3-5,0.7604545454545455,0.75203258517012
ecoli-0-6-7_vs_5,0.64925,0.8547847971320532
ecoli-0_vs_1,0.6536191081645626,0.5622856784015604
ecoli1,0.5908338765481622,0.6831448336698657
ecoli2,0.7268418201516793,0.7417869872924593
ecoli3,0.5438063597532037,0.8890160760558371
ecoli4,0.5761075949367088,0.9328214084924701
flare-F,0.7577235217895382,0.8409004849471553
glass-0-1-2-3_vs_4-5-6,0.8350775893179356,0.6108900847443975
glass-0-1-4-6_vs_2,0.6795994993742178,0.9369519601097056
glass-0-1-5_vs_2,0.5954459203036053,0.9138492477723811
glass-0-1-6_vs_2,0.6769747899159664,0.9349962475465555
glass-0-1-6_vs_5,0.5384126984126985,0.9412389894377057
glass-0-4_vs_5,0.5622489959839357,0.7969490153367127
glass-0-6_vs_5,0.6891133557800224,0.8581455134595231
glass0,0.5304563492063492,0.7050332824500678
glass1,0.5289855072463768,0.6714290806613928
glass2,0.659002687369364,0.9368609825584316
glass4,0.7550707998469193,0.7660694290741015
glass5,0.5571815718157181,0.9521598553189814
glass6,0.7860205032618826,0.6057830427160937
habermanImb,0.6604938271604938,0.5726817195539894
iris0,0.7514,0.5675312480344433
kr-vs-k-one_vs_fifteen,0.7740014679072851,0.9047710637580428
kr-vs-k-three_vs_eleven,0.6156834246065734,0.9794379004536946
kr-vs-k-zero-one_vs_draw,0.6268819401866612,0.9734847188026335
kr-vs-k-zero_vs_eight,0.517510532165103,0.9785361324321246
kr-vs-k-zero_vs_fifteen,0.6869635101398721,0.9809319210130114
led7digit-0-2-4-5-6-7-8-9_vs_1,0.8082479030754892,0.9373162499608476
lymphography-normal-fibrosis,0.943661971830986,0.6981481481481482
new-thyroid1,0.8393650793650794,0.6217368929106849
new-thyroid2,0.8611111111111112,0.5378160525584981
page-blocks-1-3_vs_4,0.6914414414414415,0.6853292808063095
page-blocks0,0.6498581580684591,0.6108582133207716
pimaImb,0.6241417910447762,0.5627884599449571
poker-8-9_vs_5,0.5248,0.9807777000398163
poker-8-9_vs_6,0.5896438356164384,0.9640643892894178
poker-8_vs_6,0.5850926672038679,0.9881037151740237
poker-9_vs_7,0.8241525423728813,0.8978384157585353
segment0,0.829553779732787,0.9165793177897652
shuttle-2_vs_5,0.594691503782413,0.8026777181412506
shuttle-6_vs_2-3,0.6509090909090909,0.9304353455106422
shuttle-c0-vs-c4,0.9554132235343455,0.5074259909251468
shuttle-c2-vs-c4,0.6544715447154471,0.9265536721297807
vehicle0,0.5575637072534232,0.7660864587690254
vehicle1,0.5489585546511543,0.7157785390433244
vehicle2,0.5221542102495179,0.7058335384841161
vehicle3,0.5881867150764836,0.7205531332443257
vowel0,0.9211952487008167,0.5217347344819675
winequality-red-3_vs_5,0.771806167400881,0.9624453997722173
winequality-red-4,0.5741902414020357,0.9555938345353562
winequality-red-8_vs_6-7,0.6611575733439533,0.9542364856825976
winequality-red-8_vs_6,0.7270985719261581,0.938089791970409
winequality-white-3-9_vs_5,0.7341111873713109,0.8166327372025877
winequality-white-3_vs_7,0.770340909090909,0.6780883059472346
winequality-white-9_vs_4,0.5472392638036809,0.9621428534270896
wisconsinImb,0.9918956613517282,0.986070867734645
yeast-0-2-5-6_vs_3-7-8-9,0.637714158156147,0.8337359339993207
yeast-0-2-5-7-9_vs_3-6-8,0.6928065182208829,0.8288053574480725
yeast-0-3-5-9_vs_7-8,0.5589035087719298,0.9073350993940894
yeast-0-5-6-7-9_vs_4,0.6261355695317959,0.8468105446611173
yeast-1-2-8-9_vs_7,0.6004725554343875,0.9569478507065869
yeast-1-4-5-8_vs_7,0.5771241830065359,0.9451856180813055
yeast-1_vs_7,0.6940170940170941,0.8279950393563885
yeast-2_vs_4,0.7572523609875916,0.7846731513770364
yeast-2_vs_8,0.7534632034632035,0.7110112025650108
yeast1,0.6474132502568521,0.7819828897616358
yeast3,0.5342996335737473,0.9028404928379156
yeast4,0.5374984606543245,0.9699509752295595
yeast5,0.919760101010101,0.8035030451901375
