folder_name,EE_std_auc,EE_std_avgprecision
abalone-17_vs_7-8-9-10,0.8924833635813673,0.9865445373413001
abalone-19_vs_10-11-12-13,0.6974842767295597,0.9867767533470008
abalone-20_vs_8-9-10,0.9251526251526252,0.9926317016901015
abalone-21_vs_8,0.9654824892920131,0.986798314837199
abalone-3_vs_11,0.9822039698836413,0.9836622385752914
abalone19,0.7935327136648962,0.9953900749829288
abalone9-18,0.86377773170226,0.9675414990447139
car-good,0.6286483039372418,0.9579467304570813
car-vgood,0.5215551135575188,0.9605334204065497
cleveland-0_vs_4,0.9432692307692307,0.9575379479095664
dermatology-6,0.6448224852071006,0.9572899888659894
ecoli-0-1-3-7_vs_2-6,0.8206465067778936,0.9833051650794777
ecoli-0-1-4-6_vs_5,0.8332692307692308,0.9557292967154253
ecoli-0-1-4-7_vs_2-3-5-6,0.8197798494889363,0.9478761106308198
ecoli-0-1-4-7_vs_5-6,0.8366123778501628,0.9545848567869217
ecoli-0-1_vs_2-3-5,0.8537878787878788,0.9410566688861299
ecoli-0-1_vs_5,0.8561363636363637,0.9495499640368339
ecoli-0-2-3-4_vs_5,0.8804945054945055,0.9412423940578375
ecoli-0-2-6-7_vs_3-5,0.8301080108010801,0.940244207350035
ecoli-0-3-4-6_vs_5,0.8643243243243244,0.9411400306864788
ecoli-0-3-4-7_vs_5-6,0.8524137931034483,0.9424239745748679
ecoli-0-3-4_vs_5,0.88,0.9406906847352089
ecoli-0-4-6_vs_5,0.8655737704918033,0.940738060572481
ecoli-0-6-7_vs_3-5,0.8265909090909092,0.9393903405843196
ecoli-0-6-7_vs_5,0.8115,0.943295131456548
ecoli-0_vs_1,0.7580601216964853,0.8640441434757824
ecoli1,0.5134633706062277,0.789759856183766
ecoli2,0.8071505958829903,0.9037777670756733
ecoli3,0.5253915519696251,0.8983227736929049
ecoli4,0.9069620253164556,0.9659100094000547
flare-F,0.7827979722203278,0.9750492373620134
glass-0-1-2-3_vs_4-5-6,0.9624684229520029,0.8654057496051226
glass-0-1-4-6_vs_2,0.5528785982478097,0.9111856936336349
glass-0-1-5_vs_2,0.5415559772296016,0.9105874793070282
glass-0-1-6_vs_2,0.5331092436974789,0.9071388462209099
glass-0-1-6_vs_5,0.7904761904761906,0.9663693950498561
glass-0-4_vs_5,0.8862115127175368,0.938804609513283
glass-0-6_vs_5,0.6936026936026936,0.9341590638909123
glass0,0.7477182539682539,0.5049700657274843
glass1,0.6055491990846682,0.5563556569506356
glass2,0.5742012541057032,0.9111319064905083
