folder_name,HBOS_std_auc,HBOS_std_avgprecision
abalone-17_vs_7-8-9-10,0.6321725650332728,0.9093613094857547
abalone-19_vs_10-11-12-13,0.5313089622641509,0.9806132813868726
abalone-20_vs_8-9-10,0.5905372405372405,0.9665230624509172
abalone-21_vs_8,0.8154446963970774,0.7324375049505061
abalone-3_vs_11,0.9957563312799453,0.9150315867707173
abalone19,0.5406053838725253,0.9881601723789154
abalone9-18,0.6654917409634391,0.884503300145823
car-good,0.5050318421259533,0.9604504543363239
car-vgood,0.6403210139229382,0.9690158221408222
cleveland-0_vs_4,0.9528846153846153,0.6940564527521049
dermatology-6,0.6715976331360947,0.8886576799557754
ecoli-0-1-3-7_vs_2-6,0.8185610010427529,0.7436313369568933
ecoli-0-1-4-6_vs_5,0.8836538461538461,0.6148033535797901
ecoli-0-1-4-7_vs_2-3-5-6,0.7883859373244974,0.5919821479554068
ecoli-0-1-4-7_vs_5-6,0.8155048859934853,0.6304381838940297
ecoli-0-1_vs_2-3-5,0.88125,0.5542687543264821
ecoli-0-1_vs_5,0.8979545454545454,0.5385467821016184
ecoli-0-2-3-4_vs_5,0.8725274725274726,0.5971141391038516
ecoli-0-2-6-7_vs_3-5,0.8562106210621063,0.5807971276316689
ecoli-0-3-4-6_vs_5,0.86,0.6772671048222887
ecoli-0-3-4-7_vs_5-6,0.8012068965517242,0.7100519484087684
ecoli-0-3-4_vs_5,0.8761111111111111,0.6018603386354442
ecoli-0-4-6_vs_5,0.8674863387978142,0.6429118954579081
ecoli-0-6-7_vs_3-5,0.8622727272727272,0.5968480210737985
ecoli-0-6-7_vs_5,0.85675,0.6913512933913133
ecoli-0_vs_1,0.8317591499409681,0.518406201503097
ecoli1,0.6408012836584265,0.6955649248897624
ecoli2,0.5079563921993501,0.849914149233454
ecoli3,0.6403417180825819,0.8542009420067788
ecoli4,0.7805379746835444,0.7899268430734032
flare-F,0.8635226988565323,0.7964755075708532
glass-0-1-2-3_vs_4-5-6,0.8738121015277276,0.6119410523347862
glass-0-1-4-6_vs_2,0.7124530663329162,0.9418264831575373
glass-0-1-5_vs_2,0.5998102466793169,0.9129989447465667
glass-0-1-6_vs_2,0.6425210084033613,0.9318325725109927
glass-0-1-6_vs_5,0.7371428571428571,0.897146464404273
glass-0-4_vs_5,0.7911646586345381,0.7590551182675324
glass-0-6_vs_5,0.7227833894500562,0.8262208720767181
glass0,0.6836309523809523,0.7617117983730354
glass1,0.5511536994660564,0.6635950746384682
glass2,0.713496566139146,0.9444738129949057
glass4,0.7921928817451206,0.7353261123775754
glass5,0.7143631436314364,0.9231347493639378
glass6,0.8633737185461323,0.6088709542062881
habermanImb,0.6051303155006859,0.616510039352978
iris0,0.6854,0.7441343183279152
kr-vs-k-one_vs_fifteen,0.9993666690342591,0.9847384281589964
kr-vs-k-three_vs_eleven,0.6218043551610475,0.9658915888569649
kr-vs-k-zero-one_vs_draw,0.7147183050616527,0.9381269463112158
kr-vs-k-zero_vs_eight,0.7009123568788607,0.9708382149759532
kr-vs-k-zero_vs_fifteen,1.0,0.9999999999999998
led7digit-0-2-4-5-6-7-8-9_vs_1,0.8953867660764212,0.5814483636864167
lymphography-normal-fibrosis,0.9941314553990611,0.8833333333333333
new-thyroid1,0.8107936507936507,0.668819935925747
new-thyroid2,0.8096825396825397,0.6699464191376876
page-blocks-1-3_vs_4,0.7825370012870012,0.7244539496714153
page-blocks0,0.7412603632362317,0.7174546494293801
pimaImb,0.7089328358208955,0.5718015095036105
poker-8-9_vs_5,0.5021853658536586,0.9861029702155156
poker-8-9_vs_6,0.5181917808219179,0.983374336617727
poker-8_vs_6,0.624375503626108,0.9850819091615166
poker-9_vs_7,0.5921610169491525,0.970019060132103
segment0,0.6584693998227591,0.897777770195082
shuttle-2_vs_5,0.9327099067358807,0.5112983975061762
shuttle-6_vs_2-3,0.9754545454545455,0.622027027027027
shuttle-c0-vs-c4,0.9999714065135962,0.9996066089693155
shuttle-c2-vs-c4,0.978319783197832,0.5626984126984127
vehicle0,0.5955356380045513,0.8018920601948096
vehicle1,0.605525558087228,0.7078089461796603
vehicle2,0.6408651317711681,0.6984055140756391
vehicle3,0.622209987500744,0.7054455404371347
vowel0,0.9101583766394455,0.5960504903233941
winequality-red-3_vs_5,0.7105726872246696,0.9687225261145969
winequality-red-4,0.5240974883448462,0.9611530098287095
winequality-red-8_vs_6-7,0.5386300278773397,0.9656709809720584
winequality-red-8_vs_6,0.6501219087425983,0.9334295097124603
winequality-white-3-9_vs_5,0.7787234042553192,0.9105810621004194
winequality-white-3_vs_7,0.8035795454545455,0.6802721593365543
winequality-white-9_vs_4,0.6049079754601228,0.9566172576201901
wisconsinImb,0.9847902295601041,0.9565857990444007
yeast-0-2-5-6_vs_3-7-8-9,0.756342429823093,0.7056315378963771
yeast-0-2-5-7-9_vs_3-6-8,0.8085272615659356,0.7027447387888561
yeast-0-3-5-9_vs_7-8,0.5367763157894737,0.8735167629510494
yeast-0-5-6-7-9_vs_4,0.5798906564722324,0.8652452113633011
yeast-1-2-8-9_vs_7,0.555470737913486,0.9599187291485959
yeast-1-4-5-8_vs_7,0.5058823529411764,0.9481026927315874
yeast-1_vs_7,0.5753690753690754,0.8860536322832718
yeast-2_vs_4,0.8196332528691823,0.6999299093405187
yeast-2_vs_8,0.7306277056277056,0.8640880303477996
yeast1,0.509876379544626,0.7160931772645767
yeast3,0.5364011276082908,0.8896548331894087
yeast4,0.7318459833340175,0.9174470509312652
yeast5,0.897845643939394,0.8048887315815753
yeast6,0.7395543724736271,0.9498565575767959
zoo-3,0.76875,0.9593896390713185
