folder_name,ABOD_std_auc,ABOD_std_avgprecision
abalone-17_vs_7-8-9-10,0.8309739866908651,0.8759222732701977
abalone-19_vs_10-11-12-13,0.6088246855345911,0.9722735043987403
abalone-20_vs_8-9-10,0.8164428164428164,0.9372554032683684
abalone-21_vs_8,0.9446963970773493,0.7371424877989561
abalone-3_vs_11,0.8473648186173853,0.9823148838788908
abalone19,0.691792914051183,0.9866917371861321
abalone9-18,0.8351648351648351,0.750277577074993
car-good,0.5762332817918949,0.9642119906076491
car-vgood,0.5141819695638096,0.9634011074729686
cleveland-0_vs_4,0.8562500000000001,0.7354951706768635
dermatology-6,0.6945266272189349,0.8745151134657575
ecoli-0-1-3-7_vs_2-6,0.6866527632950991,0.9382049520144758
ecoli-0-1-4-6_vs_5,0.7965384615384615,0.8002604087680572
ecoli-0-1-4-7_vs_2-3-5-6,0.7715376839267662,0.7193394085481195
ecoli-0-1-4-7_vs_5-6,0.7693811074918566,0.8055313733849989
ecoli-0-1_vs_2-3-5,0.7890151515151516,0.6536542038705888
ecoli-0-1_vs_5,0.7756818181818181,0.7898869425156518
ecoli-0-2-3-4_vs_5,0.8156593406593406,0.7384092842091362
ecoli-0-2-6-7_vs_3-5,0.81998199819982,0.6538156191240471
ecoli-0-3-4-6_vs_5,0.812972972972973,0.7415199435129413
ecoli-0-3-4-7_vs_5-6,0.7805172413793104,0.7753662945875995
ecoli-0-3-4_vs_5,0.8191666666666666,0.7311684171428828
ecoli-0-4-6_vs_5,0.8237704918032787,0.6811699690179907
ecoli-0-6-7_vs_3-5,0.8231818181818182,0.6590879563931333
ecoli-0-6-7_vs_5,0.8125,0.7441342023079419
ecoli-0_vs_1,0.7137408046498955,0.5353847950203854
ecoli1,0.6039211753497467,0.7143863039179064
ecoli2,0.5405606717226435,0.8289887487005101
ecoli3,0.5018509729473184,0.8989786991624125
ecoli4,0.7707278481012658,0.864757454380523
flare-F,0.6854781877287504,0.9719886628627604
glass-0-1-2-3_vs_4-5-6,0.8077709611451942,0.5172674277394047
glass-0-1-4-6_vs_2,0.5206508135168961,0.9212831415253683
glass-0-1-5_vs_2,0.5119544592030361,0.8959558726998942
glass-0-1-6_vs_2,0.5243697478991597,0.9055216865907022
glass-0-1-6_vs_5,0.7193650793650793,0.8790909890685824
glass-0-4_vs_5,0.7429718875502007,0.7171837815454837
glass-0-6_vs_5,0.7362514029180696,0.768035074296934
glass0,0.7313492063492064,0.7728177720748943
glass1,0.5112509534706331,0.6364196244964133
glass2,0.5494177366378024,0.9283102419791944
glass4,0.8580176042862611,0.8112689402420828
glass5,0.7094850948509485,0.9030652285908758
glass6,0.730475302889096,0.6936068254752518
habermanImb,0.6678189300411522,0.6251335168756885
iris0,0.6312,0.6541778441544172
kr-vs-k-one_vs_fifteen,0.6391552430333594,0.9399566295359424
kr-vs-k-three_vs_eleven,0.6863250192495696,0.9112265229240544
kr-vs-k-zero-one_vs_draw,0.5434566387356087,0.86002658385016
kr-vs-k-zero_vs_eight,0.5184668269106509,0.9331248574415348
kr-vs-k-zero_vs_fifteen,0.5116275093191067,0.9178890313667065
led7digit-0-2-4-5-6-7-8-9_vs_1,0.5062907735321528,0.9172643147728422
lymphography-normal-fibrosis,0.8485915492957747,0.7313426664303857
new-thyroid1,0.8011111111111111,0.642463461442488
new-thyroid2,0.8011111111111111,0.642463461442488
page-blocks-1-3_vs_4,0.6950611325611326,0.8496522576993089
page-blocks0,0.767886265746712,0.5893077110134206
pimaImb,0.6668955223880597,0.505478612379517
poker-8-9_vs_5,0.8175024390243902,0.9374412385844139
poker-8-9_vs_6,0.7610958904109588,0.8893218958222391
poker-8_vs_6,0.6631345688960515,0.9718227863581189
poker-9_vs_7,0.8829449152542372,0.5537348794616237
segment0,0.7094108196857275,0.9058544017882838
shuttle-2_vs_5,0.9582966336213089,0.8180873101661602
shuttle-6_vs_2-3,0.974090909090909,0.5470146601764249
shuttle-c0-vs-c4,0.6549719307275137,0.854409510471223
shuttle-c2-vs-c4,0.967479674796748,0.5637566137566137
vehicle0,0.5310944211008676,0.7484318496261095
vehicle1,0.5493615057182419,0.7310086298900754
vehicle2,0.6003622976684392,0.7648549924006379
vehicle3,0.5818850068448307,0.7257547503494509
vowel0,0.5962138084632517,0.9148576451894053
winequality-red-3_vs_5,0.7565345080763584,0.9669096854390054
winequality-red-4,0.5592155044057702,0.9633272232572991
winequality-red-8_vs_6,0.5932601880877744,0.963903620720421
winequality-red-8_vs_6-7,0.5932563387760521,0.9729218736867862
winequality-white-3-9_vs_5,0.7634591626630062,0.9624481150077948
winequality-white-3_vs_7,0.7746590909090909,0.9479112116107853
winequality-white-9_vs_4,0.5521472392638037,0.9623304473304474
wisconsinImb,0.6803309585736363,0.737268503252405
yeast-0-2-5-6_vs_3-7-8-9,0.6045091801997879,0.8358792210398555
yeast-0-2-5-7-9_vs_3-6-8,0.5910151236118086,0.8607352072844078
yeast-0-3-5-9_vs_7-8,0.5937719298245614,0.863208047347557
yeast-0-5-6-7-9_vs_4,0.5842479549471781,0.8727116093956343
yeast-1-2-8-9_vs_7,0.5701563067975282,0.9517164908480089
yeast-1-4-5-8_vs_7,0.5212669683257918,0.957601981559556
yeast-1_vs_7,0.5400932400932401,0.9193892351717129
yeast-2_vs_4,0.7435311057468343,0.7964714462380758
yeast-2_vs_8,0.7359307359307359,0.8417757667251722
yeast1,0.5312895635170516,0.682099928090615
yeast3,0.5401791726847573,0.8868129333403163
yeast4,0.6390268598716529,0.9467733547370785
yeast5,0.6166508838383838,0.9474346152639709
yeast6,0.5120181405895691,0.976378468100527
zoo-3,0.6166666666666667,0.9534018023454741
